Case,T_cm,H_cm,D_cm,Rin_cm,Rout_cm
T04_H20_D01,4,20,1,5,9
T04_H25_D01,4,25,1,5,9
T04_H30_D01,4,30,1,5,9
T04_H35_D01,4,35,1,5,9
T04_H40_D01,4,40,1,5,9
T04_H45_D01,4,45,1,5,9
T04_H50_D01,4,50,1,5,9
T05_H20_D01,5,20,1,5,10
T05_H25_D01,5,25,1,5,10
T05_H30_D01,5,30,1,5,10
T05_H35_D01,5,35,1,5,10
T05_H40_D01,5,40,1,5,10
T05_H45_D01,5,45,1,5,10
T05_H50_D01,5,50,1,5,10
