Energy_MeV,F8_Response,Relative_Error
0.0000,7.19494000E-04,0.0017
0.0100,5.98258000E-04,0.0018
0.0200,1.26962000E-04,0.004
0.0300,1.31320000E-05,0.0123
0.0400,1.03540000E-05,0.0139
0.0500,1.06020000E-05,0.0137
0.0600,1.12280000E-05,0.0133
0.0700,1.17880000E-05,0.013
0.0800,1.36900000E-05,0.0121
0.0900,1.56080000E-05,0.0113
0.1000,1.72640000E-05,0.0108
0.1100,1.88180000E-05,0.0103
0.1200,2.00200000E-05,0.01
0.1300,2.02560000E-05,0.0099
0.1400,2.05360000E-05,0.0099
0.1500,2.03960000E-05,0.0099
0.1600,2.06300000E-05,0.0098
0.1700,2.07820000E-05,0.0098
0.1800,2.07080000E-05,0.0098
0.1900,1.87140000E-05,0.0103
0.2000,1.74040000E-05,0.0107
0.2100,1.67000000E-05,0.0109
0.2200,1.65860000E-05,0.011
0.2300,1.60020000E-05,0.0112
0.2400,1.61520000E-05,0.0111
0.2500,1.50960000E-05,0.0115
0.2600,1.51600000E-05,0.0115
0.2700,1.51140000E-05,0.0115
0.2800,1.49740000E-05,0.0116
0.2900,1.51940000E-05,0.0115
0.3000,1.46760000E-05,0.0117
0.3100,1.38920000E-05,0.012
0.3200,1.24640000E-05,0.0127
0.3300,1.08400000E-05,0.0136
0.3400,1.03540000E-05,0.0139
0.3500,9.61800000E-06,0.0144
0.3600,8.94000000E-06,0.015
0.3700,8.72400000E-06,0.0151
0.3800,8.31000000E-06,0.0155
0.3900,7.96600000E-06,0.0158
0.4000,7.97800000E-06,0.0158
0.4100,7.39200000E-06,0.0164
0.4200,7.23200000E-06,0.0166
0.4300,7.33400000E-06,0.0165
0.4400,6.89800000E-06,0.017
0.4500,6.48200000E-06,0.0176
0.4600,6.49600000E-06,0.0175
0.4700,6.46400000E-06,0.0176
0.4800,6.87200000E-06,0.0171
0.4900,8.58600000E-06,0.0153
0.5000,1.13480000E-05,0.0133
0.5100,1.43740000E-05,0.0118
0.5200,1.44840000E-05,0.0118
0.5300,1.15320000E-05,0.0132
0.5400,7.92600000E-06,0.0159
0.5500,5.89200000E-06,0.0184
0.5600,5.04800000E-06,0.0199
0.5700,4.68200000E-06,0.0207
0.5800,4.86000000E-06,0.0203
0.5900,4.48600000E-06,0.0211
0.6000,4.49600000E-06,0.0211
0.6100,4.30600000E-06,0.0216
0.6200,4.36000000E-06,0.0214
0.6300,4.20200000E-06,0.0218
0.6400,4.32400000E-06,0.0215
0.6500,4.09000000E-06,0.0221
0.6600,3.88800000E-06,0.0227
0.6700,4.00400000E-06,0.0223
0.6800,3.95800000E-06,0.0225
0.6900,3.76000000E-06,0.0231
0.7000,3.70600000E-06,0.0232
0.7100,3.79400000E-06,0.023
0.7200,3.78400000E-06,0.023
0.7300,4.11400000E-06,0.022
0.7400,4.62000000E-06,0.0208
0.7500,5.54600000E-06,0.019
0.7600,6.38600000E-06,0.0177
0.7700,6.64200000E-06,0.0174
0.7800,6.09400000E-06,0.0181
0.7900,5.14800000E-06,0.0197
0.8000,4.14000000E-06,0.022
0.8100,3.66000000E-06,0.0234
0.8200,3.49000000E-06,0.0239
0.8300,3.57000000E-06,0.0237
0.8400,4.01800000E-06,0.0223
0.8500,4.13600000E-06,0.022
0.8600,3.99200000E-06,0.0224
0.8700,3.65000000E-06,0.0234
0.8800,3.55800000E-06,0.0237
