Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.000865519,0.0011
0.01,0.000720146,0.0012
0.02,0.000152867,0.0026
0.03,1.5878e-05,0.0079
0.04,1.2003e-05,0.0091
0.05,1.2596e-05,0.0089
0.06,1.3158e-05,0.0087
0.07,1.4129e-05,0.0084
0.08,1.6155e-05,0.0079
0.09,1.8348e-05,0.0074
0.1,2.0745e-05,0.0069
0.11,2.2245e-05,0.0067
0.12,2.3859e-05,0.0065
0.13,2.3938e-05,0.0065
0.14,2.4228e-05,0.0064
0.15,2.3943e-05,0.0065
0.16,2.4516e-05,0.0064
0.17,2.4789e-05,0.0064
0.18,2.4207e-05,0.0064
0.19,2.2276e-05,0.0067
0.2,2.0904e-05,0.0069
0.21,2.0008e-05,0.0071
0.22,1.954e-05,0.0072
0.23,1.9339e-05,0.0072
0.24,1.9103e-05,0.0072
0.25,1.8439e-05,0.0074
0.26,1.831e-05,0.0074
0.27,1.7882e-05,0.0075
0.28,1.7857e-05,0.0075
0.29,1.7887e-05,0.0075
0.3,1.7814e-05,0.0075
0.31,1.66e-05,0.0078
0.32,1.4665e-05,0.0083
0.33,1.2951e-05,0.0088
0.34,1.2204e-05,0.0091
0.35,1.1523e-05,0.0093
0.36,1.1e-05,0.0095
0.37,1.0243e-05,0.0099
0.38,9.883e-06,0.0101
0.39,9.503e-06,0.0103
0.4,9.279e-06,0.0104
0.41,9.059e-06,0.0105
0.42,8.627e-06,0.0108
0.43,8.546e-06,0.0108
0.44,8.157e-06,0.0111
0.45,7.94e-06,0.0112
0.46,7.56e-06,0.0115
0.47,7.751e-06,0.0114
0.48,8.15e-06,0.0111
0.49,9.99e-06,0.01
0.5,1.3409e-05,0.0086
0.51,1.7099e-05,0.0076
0.52,1.7279e-05,0.0076
0.53,1.3564e-05,0.0086
0.54,9.445e-06,0.0103
0.55,6.963e-06,0.012
0.56,6.063e-06,0.0128
0.57,5.701e-06,0.0132
0.58,5.674e-06,0.0133
0.59,5.397e-06,0.0136
0.6,5.313e-06,0.0137
0.61,5.151e-06,0.0139
0.62,5.257e-06,0.0138
0.63,5.054e-06,0.0141
0.64,5.082e-06,0.014
0.65,4.876e-06,0.0143
0.66,4.784e-06,0.0145
0.67,4.7e-06,0.0146
0.68,4.669e-06,0.0146
0.69,4.465e-06,0.015
0.7,4.443e-06,0.015
0.71,4.41e-06,0.0151
0.72,4.513e-06,0.0149
0.73,4.832e-06,0.0144
0.74,5.509e-06,0.0135
0.75,6.79e-06,0.0121
0.76,7.505e-06,0.0115
0.77,7.838e-06,0.0113
0.78,7.297e-06,0.0117
0.79,6.074e-06,0.0128
0.8,5.045e-06,0.0141
0.81,4.377e-06,0.0151
0.82,4.199e-06,0.0154
0.83,4.326e-06,0.0152
0.84,4.726e-06,0.0145
0.85,5.005e-06,0.0141
0.86,4.697e-06,0.0146
0.87,4.443e-06,0.015
0.88,4.185e-06,0.0155
0.89,4.263e-06,0.0153
0.9,4.086e-06,0.0156
0.91,3.92e-06,0.016
0.92,3.47e-06,0.017
0.93,3.339e-06,0.0173
0.94,3.308e-06,0.0174
0.95,3.381e-06,0.0172
0.96,3.415e-06,0.0171
0.97,3.494e-06,0.0169
0.98,3.641e-06,0.0166
0.99,4.059e-06,0.0157
1,4.657e-06,0.0147
1.01,5.315e-06,0.0137
1.02,5.358e-06,0.0137
1.03,4.803e-06,0.0144
1.04,4.113e-06,0.0156
1.05,3.291e-06,0.0174
1.06,3.029e-06,0.0182
1.07,2.896e-06,0.0186
1.08,2.923e-06,0.0185
1.09,2.959e-06,0.0184
1.1,2.91e-06,0.0185
1.11,3.066e-06,0.0181
1.12,3.083e-06,0.018
1.13,3.253e-06,0.0175
1.14,3.544e-06,0.0168
1.15,3.551e-06,0.0168
1.16,3.81e-06,0.0162
1.17,3.698e-06,0.0164
1.18,3.509e-06,0.0169
1.19,3.318e-06,0.0174
1.2,3.013e-06,0.0182
1.21,2.963e-06,0.0184
1.22,2.813e-06,0.0189
1.23,2.85e-06,0.0187
1.24,2.732e-06,0.0191
1.25,2.89e-06,0.0186
1.26,2.768e-06,0.019
1.27,2.621e-06,0.0195
1.28,2.829e-06,0.0188
1.29,2.892e-06,0.0186
1.3,2.98e-06,0.0183
1.31,2.884e-06,0.0186
1.32,2.854e-06,0.0187
1.33,2.976e-06,0.0183
1.34,2.958e-06,0.0184
1.35,3.187e-06,0.0177
1.36,3.235e-06,0.0176
1.37,3.338e-06,0.0173
1.38,3.298e-06,0.0174
1.39,3.259e-06,0.0175
1.4,3.053e-06,0.0181
1.41,2.979e-06,0.0183
1.42,2.851e-06,0.0187
1.43,2.874e-06,0.0187
1.44,2.747e-06,0.0191
1.45,2.646e-06,0.0194
1.46,2.719e-06,0.0192
1.47,2.621e-06,0.0195
1.48,2.716e-06,0.0192
1.49,2.633e-06,0.0195
1.5,2.723e-06,0.0192
