Energy_MeV,F8_Response,Relative_Error
0.0000,6.67474000E-04,0.0017
0.0100,5.56970000E-04,0.0019
0.0200,1.19472000E-04,0.0041
0.0300,1.47300000E-05,0.0117
0.0400,1.13060000E-05,0.0133
0.0500,1.21000000E-05,0.0129
0.0600,1.37360000E-05,0.0121
0.0700,1.59560000E-05,0.0112
0.0800,1.92540000E-05,0.0102
0.0900,2.35160000E-05,0.0092
0.1000,2.66140000E-05,0.0087
0.1100,2.90220000E-05,0.0083
0.1200,3.09020000E-05,0.008
0.1300,3.12780000E-05,0.008
0.1400,3.16260000E-05,0.008
0.1500,3.08040000E-05,0.0081
0.1600,3.07400000E-05,0.0081
0.1700,3.01240000E-05,0.0081
0.1800,2.88200000E-05,0.0083
0.1900,2.71080000E-05,0.0086
0.2000,2.57560000E-05,0.0088
0.2100,2.39940000E-05,0.0091
0.2200,2.32640000E-05,0.0093
0.2300,2.21280000E-05,0.0095
0.2400,2.18380000E-05,0.0096
0.2500,2.09640000E-05,0.0098
0.2600,2.01220000E-05,0.01
0.2700,1.92660000E-05,0.0102
0.2800,1.86100000E-05,0.0104
0.2900,1.86660000E-05,0.0104
0.3000,1.76420000E-05,0.0106
0.3100,1.67200000E-05,0.0109
0.3200,1.50800000E-05,0.0115
0.3300,1.45720000E-05,0.0117
0.3400,1.36660000E-05,0.0121
0.3500,1.25060000E-05,0.0126
0.3600,1.20840000E-05,0.0129
0.3700,1.13720000E-05,0.0133
0.3800,1.07320000E-05,0.0137
0.3900,1.02360000E-05,0.014
0.4000,1.01380000E-05,0.014
0.4100,9.82200000E-06,0.0143
0.4200,9.39400000E-06,0.0146
0.4300,9.25400000E-06,0.0147
0.4400,8.79600000E-06,0.0151
0.4500,8.43000000E-06,0.0154
0.4600,8.07200000E-06,0.0157
0.4700,8.17800000E-06,0.0156
0.4800,8.40400000E-06,0.0154
0.4900,1.00480000E-05,0.0141
0.5000,1.33420000E-05,0.0122
0.5100,1.67760000E-05,0.0109
0.5200,1.67840000E-05,0.0109
0.5300,1.28460000E-05,0.0125
0.5400,8.75200000E-06,0.0151
0.5500,6.48400000E-06,0.0176
0.5600,5.62200000E-06,0.0189
0.5700,5.49400000E-06,0.0191
0.5800,5.23800000E-06,0.0195
0.5900,5.30200000E-06,0.0194
0.6000,4.89400000E-06,0.0202
0.6100,4.99400000E-06,0.02
0.6200,4.80200000E-06,0.0204
0.6300,4.89800000E-06,0.0202
0.6400,4.71000000E-06,0.0206
0.6500,4.51200000E-06,0.0211
0.6600,4.46800000E-06,0.0212
0.6700,4.34000000E-06,0.0215
0.6800,4.38800000E-06,0.0213
0.6900,4.13600000E-06,0.022
0.7000,4.10600000E-06,0.0221
0.7100,3.96000000E-06,0.0225
0.7200,3.96400000E-06,0.0225
0.7300,4.27800000E-06,0.0216
0.7400,4.59600000E-06,0.0209
0.7500,5.32000000E-06,0.0194
0.7600,6.02600000E-06,0.0182
0.7700,6.01200000E-06,0.0182
0.7800,5.74400000E-06,0.0187
