Energy_MeV,F8 脉冲高度响应,Relative_Error
0,0.000864639,0.0013
0.01,0.000719777,0.0014
0.02,0.00015296,0.0031
0.03,1.588e-05,0.0095
0.04,1.19943e-05,0.0109
0.05,1.25386e-05,0.0107
0.06,1.31771e-05,0.0104
0.07,1.417e-05,0.01
0.08,1.59943e-05,0.0095
0.09,1.83229e-05,0.0088
0.1,2.08357e-05,0.0083
0.11,2.21443e-05,0.008
0.12,2.39143e-05,0.0077
0.13,2.38157e-05,0.0077
0.14,2.43514e-05,0.0077
0.15,2.39443e-05,0.0077
0.16,2.44786e-05,0.0076
0.17,2.46786e-05,0.0076
0.18,2.42457e-05,0.0077
0.19,2.23229e-05,0.008
0.2,2.08629e-05,0.0083
0.21,2.00143e-05,0.0084
0.22,1.946e-05,0.0086
0.23,1.94043e-05,0.0086
0.24,1.906e-05,0.0087
0.25,1.838e-05,0.0088
0.26,1.814e-05,0.0089
0.27,1.80829e-05,0.0089
0.28,1.78086e-05,0.009
0.29,1.80057e-05,0.0089
0.3,1.77471e-05,0.009
0.31,1.65557e-05,0.0093
0.32,1.46729e-05,0.0099
0.33,1.30014e-05,0.0105
0.34,1.21971e-05,0.0108
0.35,1.15686e-05,0.0111
0.36,1.08757e-05,0.0115
0.37,1.02671e-05,0.0118
0.38,9.83143e-06,0.0121
0.39,9.40286e-06,0.0123
0.4,9.38143e-06,0.0123
0.41,9.04e-06,0.0126
0.42,8.59714e-06,0.0129
0.43,8.59143e-06,0.0129
0.44,8.10857e-06,0.0133
0.45,7.93286e-06,0.0134
0.46,7.57429e-06,0.0137
0.47,7.77857e-06,0.0136
0.48,8.15286e-06,0.0132
0.49,9.97143e-06,0.012
0.5,1.334e-05,0.0103
0.51,1.71057e-05,0.0091
0.52,1.72114e-05,0.0091
0.53,1.35214e-05,0.0103
0.54,9.44714e-06,0.0123
0.55,7.04143e-06,0.0142
0.56,6.05857e-06,0.0154
0.57,5.70714e-06,0.0158
0.58,5.71e-06,0.0158
0.59,5.45571e-06,0.0162
0.6,5.37571e-06,0.0163
0.61,5.16429e-06,0.0166
0.62,5.21571e-06,0.0165
0.63,5.01714e-06,0.0169
0.64,5.11143e-06,0.0167
0.65,4.86286e-06,0.0171
0.66,4.77429e-06,0.0173
0.67,4.70143e-06,0.0174
0.68,4.73143e-06,0.0174
0.69,4.41286e-06,0.018
0.7,4.42e-06,0.018
0.71,4.43286e-06,0.018
0.72,4.49857e-06,0.0178
0.73,4.87429e-06,0.0171
0.74,5.46429e-06,0.0162
0.75,6.76143e-06,0.0145
0.76,7.42714e-06,0.0139
0.77,7.85286e-06,0.0135
0.78,7.35286e-06,0.0139
0.79,6.07714e-06,0.0153
0.8,5.05571e-06,0.0168
0.81,4.37e-06,0.0181
0.82,4.16286e-06,0.0185
0.83,4.30429e-06,0.0182
0.84,4.68857e-06,0.0175
0.85,4.99143e-06,0.0169
0.86,4.68429e-06,0.0175
0.87,4.40571e-06,0.018
0.88,4.21e-06,0.0184
0.89,4.22429e-06,0.0184
0.9,3.99571e-06,0.0189
0.91,3.88714e-06,0.0192
0.92,3.59714e-06,0.0199
0.93,3.35e-06,0.0207
0.94,3.30286e-06,0.0208
