Energy_MeV,F8 脉冲高度响应,Relative_Error
6.09,9.74286e-07,0.0383
6.1,1.19143e-06,0.0346
6.11,1.24714e-06,0.0338
6.12,1.43286e-06,0.0316
6.13,1.45286e-06,0.0314
6.14,1.38e-06,0.0322
6.15,1.32e-06,0.0329
6.16,1.21e-06,0.0344
6.17,1.00143e-06,0.0378
