"category","case_name","original_path","new_path","bytes","sha256","input_echo","nps"
"Length","T05_H20_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H20_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H20_D01.outp","94941","D9FE14FB24ED0AD8885850FC5891D0C06F1158CF88869FA3D10D07CB9DFABA77","T05_H20_D01.i","500000000"
"Length","T05_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H25_D01.outp","94941","E92FCD771783789418437F14E1E5A2DA9FF71FA97164AC3DB03A055002CBF79F","T05_H25_D01.i","500000000"
"Length","T05_H30_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H30_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H30_D01.outp","94941","00ED5B61DF375C51F7483883FEAE3252F341E7CD9955F5AAD27B8A2D44C2DBC7","T05_H30_D01.i","500000000"
"Length","T05_H35_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H35_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H35_D01.outp","94941","AFECF5B68B2C26A9851483B11000C5A01724BFA50D122A0D21BA545DD3C58820","T05_H35_D01.i","500000000"
"Length","T05_H40_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H40_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H40_D01.outp","94941","743B9044CFA733515A1467FD48A35932318B547C48DE8BA58FF9D13096852FB5","T05_H40_D01.i","500000000"
"Length","T05_H45_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H45_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H45_D01.outp","94941","28D25632891CC8F68114BF6B2C80B2BEF3EC7E7CCDC31C6A54D4B157D9DC7F7C","T05_H45_D01.i","500000000"
"Length","T05_H50_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\长度优化\T05\T05_H50_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\02_Length_H\outputs\T05_H50_D01.outp","94941","4FEFCB78799E017A5E7DCC70483C773EAE2CF93880307B381B7997AD99B35D53","T05_H50_D01.i","500000000"
"Distance","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T04_H25_D01.outp","94941","A43BF68D078CB6CF91B86DB4A46C83C5F025F5EB16286DE28DBAC6C9E7BC29A8","T04_H25_D01.i","500000000"
"Distance","T04_H25_D02","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D02\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T04_H25_D02.outp","94941","4C655EC4F72758785E070A4809778D106DF431B4D5C434928578B9477586D4D9","T04_H25_D02.i","500000000"
"Distance","T04_H25_D03","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D03\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T04_H25_D03.outp","94941","26238670CC3FE9C1F2A75C516A60639C4A208CC4B1E01D85C2EADB031E9AB068","T04_H25_D03.i","500000000"
