Energy_MeV,F8_Response_per_source_neutron,Relative_Error
6.09,9.32e-07,0.0328
6.1,1.112e-06,0.03
6.11,1.314e-06,0.0276
6.12,1.387e-06,0.0269
6.13,1.482e-06,0.026
6.14,1.383e-06,0.0269
6.15,1.299e-06,0.0277
6.16,1.207e-06,0.0288
6.17,1.02e-06,0.0313
