Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.00086586,0.0011
0.01,0.000720854,0.0012
0.02,0.000152094,0.0026
0.03,1.5823e-05,0.0079
0.04,1.1727e-05,0.0092
0.05,1.2772e-05,0.0088
0.06,1.2959e-05,0.0088
0.07,1.4309e-05,0.0084
0.08,1.5865e-05,0.0079
0.09,1.8553e-05,0.0073
0.1,2.0538e-05,0.007
0.11,2.2167e-05,0.0067
0.12,2.3617e-05,0.0065
0.13,2.425e-05,0.0064
0.14,2.3966e-05,0.0065
0.15,2.3764e-05,0.0065
0.16,2.4408e-05,0.0064
0.17,2.4805e-05,0.0063
0.18,2.4458e-05,0.0064
0.19,2.2213e-05,0.0067
0.2,2.0488e-05,0.007
0.21,1.9972e-05,0.0071
0.22,1.9296e-05,0.0072
0.23,1.9328e-05,0.0072
0.24,1.8887e-05,0.0073
0.25,1.8616e-05,0.0073
0.26,1.8147e-05,0.0074
0.27,1.7618e-05,0.0075
0.28,1.7673e-05,0.0075
0.29,1.7741e-05,0.0075
0.3,1.796e-05,0.0075
0.31,1.68e-05,0.0077
0.32,1.4712e-05,0.0082
0.33,1.3053e-05,0.0088
0.34,1.231e-05,0.009
0.35,1.1674e-05,0.0093
0.36,1.0824e-05,0.0096
0.37,1.0214e-05,0.0099
0.38,9.993e-06,0.01
0.39,9.47e-06,0.0103
0.4,9.287e-06,0.0104
0.41,9.033e-06,0.0105
0.42,8.557e-06,0.0108
0.43,8.429e-06,0.0109
0.44,8.146e-06,0.0111
0.45,8.039e-06,0.0112
0.46,7.829e-06,0.0113
0.47,7.785e-06,0.0113
0.48,8.186e-06,0.0111
0.49,9.689e-06,0.0102
0.5,1.3527e-05,0.0086
0.51,1.7122e-05,0.0076
0.52,1.7303e-05,0.0076
0.53,1.3618e-05,0.0086
0.54,9.299e-06,0.0104
0.55,6.895e-06,0.012
0.56,6.01e-06,0.0129
0.57,5.829e-06,0.0131
0.58,5.624e-06,0.0133
0.59,5.362e-06,0.0137
0.6,5.312e-06,0.0137
0.61,5.143e-06,0.0139
0.62,5.248e-06,0.0138
0.63,5.153e-06,0.0139
0.64,5.142e-06,0.0139
0.65,4.816e-06,0.0144
0.66,4.945e-06,0.0142
0.67,4.654e-06,0.0147
0.68,4.601e-06,0.0147
0.69,4.45e-06,0.015
0.7,4.431e-06,0.015
0.71,4.427e-06,0.015
0.72,4.488e-06,0.0149
0.73,4.773e-06,0.0145
0.74,5.576e-06,0.0134
0.75,6.555e-06,0.0124
0.76,7.468e-06,0.0116
