Energy_MeV,F8_Response,Relative_Error
0.0000,8.38897000E-04,0.002
0.0100,7.01003000E-04,0.0022
0.0200,1.48013000E-04,0.0047
0.0300,1.61167000E-05,0.0144
0.0400,1.23367000E-05,0.0164
0.0500,1.30667000E-05,0.016
0.0600,1.42500000E-05,0.0153
0.0700,1.55033000E-05,0.0147
0.0800,1.77233000E-05,0.0137
0.0900,2.11567000E-05,0.0126
0.1000,2.32033000E-05,0.012
0.1100,2.55400000E-05,0.0114
0.1200,2.67433000E-05,0.0112
0.1300,2.71333000E-05,0.0111
0.1400,2.74467000E-05,0.011
0.1500,2.71500000E-05,0.0111
0.1600,2.77833000E-05,0.011
0.1700,2.79033000E-05,0.0109
0.1800,2.69967000E-05,0.0111
0.1900,2.47833000E-05,0.0116
0.2000,2.30200000E-05,0.012
0.2100,2.26733000E-05,0.0121
0.2200,2.18000000E-05,0.0124
0.2300,2.10033000E-05,0.0126
0.2400,2.09000000E-05,0.0126
0.2500,1.93300000E-05,0.0131
0.2600,1.96533000E-05,0.013
0.2700,1.93733000E-05,0.0131
0.2800,1.85600000E-05,0.0134
0.2900,1.88400000E-05,0.0133
0.3000,1.83700000E-05,0.0135
0.3100,1.70000000E-05,0.014
0.3200,1.57667000E-05,0.0145
0.3300,1.41033000E-05,0.0154
0.3400,1.30333000E-05,0.016
0.3500,1.26267000E-05,0.0162
0.3600,1.15033000E-05,0.017
0.3700,1.09800000E-05,0.0174
0.3800,1.06833000E-05,0.0177
0.3900,1.02533000E-05,0.018
0.4000,9.96333000E-06,0.0183
0.4100,9.35667000E-06,0.0189
0.4200,9.27333000E-06,0.019
0.4300,9.24000000E-06,0.019
0.4400,8.75667000E-06,0.0195
0.4500,8.39000000E-06,0.0199
0.4600,8.22333000E-06,0.0201
0.4700,8.15333000E-06,0.0202
0.4800,8.68333000E-06,0.0196
0.4900,1.09600000E-05,0.0174
0.5000,1.41100000E-05,0.0154
0.5100,1.76900000E-05,0.0137
0.5200,1.82333000E-05,0.0135
0.5300,1.40867000E-05,0.0154
0.5400,9.84333000E-06,0.0184
0.5500,7.23667000E-06,0.0215
0.5600,6.17000000E-06,0.0232
0.5700,5.85333000E-06,0.0239
0.5800,5.95667000E-06,0.0237
0.5900,5.53667000E-06,0.0245
0.6000,5.56667000E-06,0.0245
0.6100,5.37667000E-06,0.0249
0.6200,5.27000000E-06,0.0251
0.6300,5.23000000E-06,0.0252
0.6400,5.16333000E-06,0.0254
0.6500,4.73667000E-06,0.0265
0.6600,4.72667000E-06,0.0266
0.6700,4.82000000E-06,0.0263
0.6800,4.96667000E-06,0.0259
0.6900,4.54000000E-06,0.0271
0.7000,4.40000000E-06,0.0275
0.7100,4.35333000E-06,0.0277
