Energy_MeV,Tally_Value,Relative_Error,One_Sigma
6.86,3.24e-07,0.0556,1.8014399999999997e-08
6.87,3.02e-07,0.0575,1.7365e-08
6.88,3.33e-07,0.0548,1.82484e-08
6.89,3.57e-07,0.0529,1.88853e-08
6.9,4.02e-07,0.0499,2.00598e-08
6.91,4.31e-07,0.0482,2.07742e-08
6.92,3.76e-07,0.0516,1.94016e-08
6.93,3.99e-07,0.0501,1.99899e-08
6.94,3.85e-07,0.051,1.9635e-08
6.95,3.53e-07,0.0532,1.8779599999999998e-08
6.96,3.31e-07,0.055,1.8205e-08
6.97,2.88e-07,0.0589,1.69632e-08
6.98,2.42e-07,0.0643,1.55606e-08
6.99,2.02e-07,0.0704,1.4220800000000001e-08
7.0,1.69e-07,0.0769,1.2996099999999998e-08
