Energy_MeV,F8_Response,Relative_Error
0.0000,6.08116000E-04,0.0018
0.0100,5.05820000E-04,0.002
0.0200,1.06840000E-04,0.0043
0.0300,1.12820000E-05,0.0133
0.0400,8.83600000E-06,0.015
0.0500,9.13800000E-06,0.0148
0.0600,9.47000000E-06,0.0145
0.0700,1.00320000E-05,0.0141
0.0800,1.18400000E-05,0.013
0.0900,1.32300000E-05,0.0123
0.1000,1.49200000E-05,0.0116
0.1100,1.60000000E-05,0.0112
0.1200,1.71500000E-05,0.0108
0.1300,1.72360000E-05,0.0108
0.1400,1.73960000E-05,0.0107
0.1500,1.74160000E-05,0.0107
0.1600,1.76700000E-05,0.0106
0.1700,1.78560000E-05,0.0106
0.1800,1.78700000E-05,0.0106
0.1900,1.59100000E-05,0.0112
0.2000,1.48700000E-05,0.0116
0.2100,1.42160000E-05,0.0119
0.2200,1.40600000E-05,0.0119
0.2300,1.38200000E-05,0.012
0.2400,1.37920000E-05,0.012
0.2500,1.30700000E-05,0.0124
0.2600,1.29680000E-05,0.0124
0.2700,1.28720000E-05,0.0125
0.2800,1.28520000E-05,0.0125
0.2900,1.29160000E-05,0.0124
0.3000,1.26780000E-05,0.0126
0.3100,1.17040000E-05,0.0131
0.3200,1.05420000E-05,0.0138
0.3300,9.18600000E-06,0.0148
0.3400,8.93800000E-06,0.015
0.3500,8.08400000E-06,0.0157
0.3600,7.71800000E-06,0.0161
0.3700,7.40600000E-06,0.0164
0.3800,7.03800000E-06,0.0169
0.3900,6.76200000E-06,0.0172
0.4000,6.90000000E-06,0.017
0.4100,6.38600000E-06,0.0177
0.4200,6.25400000E-06,0.0179
0.4300,6.34800000E-06,0.0177
0.4400,5.89600000E-06,0.0184
0.4500,5.64000000E-06,0.0188
0.4600,5.63800000E-06,0.0188
0.4700,5.54600000E-06,0.019
0.4800,5.71600000E-06,0.0187
0.4900,7.32400000E-06,0.0165
0.5000,9.69000000E-06,0.0144
0.5100,1.23180000E-05,0.0127
0.5200,1.23180000E-05,0.0127
0.5300,9.79600000E-06,0.0143
0.5400,6.80800000E-06,0.0171
0.5500,5.00400000E-06,0.02
0.5600,4.33800000E-06,0.0215
0.5700,3.98400000E-06,0.0224
0.5800,4.03200000E-06,0.0223
0.5900,3.83200000E-06,0.0228
0.6000,3.81600000E-06,0.0229
0.6100,3.62200000E-06,0.0235
0.6200,3.77600000E-06,0.023
0.6300,3.61000000E-06,0.0235
0.6400,3.65200000E-06,0.0234
0.6500,3.57400000E-06,0.0237
0.6600,3.40000000E-06,0.0243
0.6700,3.34800000E-06,0.0244
0.6800,3.35400000E-06,0.0244
0.6900,3.17000000E-06,0.0251
0.7000,3.20400000E-06,0.025
0.7100,3.31400000E-06,0.0246
0.7200,3.14000000E-06,0.0252
0.7300,3.39800000E-06,0.0243
0.7400,3.88200000E-06,0.0227
0.7500,4.66600000E-06,0.0207
0.7600,5.44800000E-06,0.0192
0.7700,5.61800000E-06,0.0189
0.7800,5.19200000E-06,0.0196
0.7900,4.39600000E-06,0.0213
0.8000,3.55800000E-06,0.0237
0.8100,3.14600000E-06,0.0252
0.8200,2.84600000E-06,0.0265
