Energy_MeV,F8_Response,Relative_Error
0.0000,8.86676000E-04,0.0015
0.0100,7.40140000E-04,0.0016
0.0200,1.57626000E-04,0.0036
0.0300,1.75100000E-05,0.0107
0.0400,1.34100000E-05,0.0122
0.0500,1.40240000E-05,0.0119
0.0600,1.55200000E-05,0.0114
0.0700,1.68840000E-05,0.0109
0.0800,1.95860000E-05,0.0101
0.0900,2.33680000E-05,0.0093
0.1000,2.59040000E-05,0.0088
0.1100,2.82220000E-05,0.0084
0.1200,3.01280000E-05,0.0081
0.1300,3.03540000E-05,0.0081
0.1400,3.07880000E-05,0.0081
0.1500,3.03300000E-05,0.0081
0.1600,3.12380000E-05,0.008
0.1700,3.04660000E-05,0.0081
0.1800,2.96940000E-05,0.0082
0.1900,2.75660000E-05,0.0085
0.2000,2.56520000E-05,0.0088
0.2100,2.51780000E-05,0.0089
0.2200,2.41600000E-05,0.0091
0.2300,2.32360000E-05,0.0093
0.2400,2.30980000E-05,0.0093
0.2500,2.16560000E-05,0.0096
0.2600,2.15400000E-05,0.0096
0.2700,2.12340000E-05,0.0097
0.2800,2.02080000E-05,0.0099
0.2900,2.06000000E-05,0.0099
0.3000,1.99400000E-05,0.01
0.3100,1.87060000E-05,0.0103
0.3200,1.70960000E-05,0.0108
0.3300,1.51760000E-05,0.0115
0.3400,1.43040000E-05,0.0118
0.3500,1.37660000E-05,0.0121
0.3600,1.25400000E-05,0.0126
0.3700,1.20120000E-05,0.0129
0.3800,1.14020000E-05,0.0132
0.3900,1.12280000E-05,0.0133
0.4000,1.06480000E-05,0.0137
0.4100,1.03080000E-05,0.0139
0.4200,9.94000000E-06,0.0142
0.4300,9.71600000E-06,0.0143
0.4400,9.49200000E-06,0.0145
0.4500,9.08600000E-06,0.0148
0.4600,9.05400000E-06,0.0149
0.4700,8.65400000E-06,0.0152
0.4800,9.36600000E-06,0.0146
0.4900,1.15060000E-05,0.0132
0.5000,1.51980000E-05,0.0115
0.5100,1.92480000E-05,0.0102
0.5200,1.93720000E-05,0.0102
0.5300,1.50120000E-05,0.0115
0.5400,1.04240000E-05,0.0139
0.5500,7.80400000E-06,0.016
0.5600,6.64400000E-06,0.0173
0.5700,6.26800000E-06,0.0179
0.5800,6.28200000E-06,0.0178
0.5900,5.79000000E-06,0.0186
0.6000,5.72400000E-06,0.0187
0.6100,5.59200000E-06,0.0189
0.6200,5.69200000E-06,0.0187
0.6300,5.41800000E-06,0.0192
0.6400,5.55200000E-06,0.019
0.6500,5.32000000E-06,0.0194
0.6600,5.15400000E-06,0.0197
0.6700,5.01400000E-06,0.02
0.6800,5.12800000E-06,0.0197
0.6900,4.81600000E-06,0.0204
0.7000,4.67800000E-06,0.0207
0.7100,4.64200000E-06,0.0208
0.7200,4.72000000E-06,0.0206
0.7300,5.24400000E-06,0.0195
0.7400,5.78200000E-06,0.0186
0.7500,6.88000000E-06,0.017
0.7600,7.77600000E-06,0.016
0.7700,7.96800000E-06,0.0158
0.7800,7.52600000E-06,0.0163
0.7900,6.37000000E-06,0.0177
0.8000,5.30200000E-06,0.0194
0.8100,4.53600000E-06,0.021
0.8200,4.54600000E-06,0.021
0.8300,4.45400000E-06,0.0212
0.8400,4.75200000E-06,0.0205
0.8500,4.97800000E-06,0.02
0.8600,4.67000000E-06,0.0207
0.8700,4.57600000E-06,0.0209
0.8800,4.41600000E-06,0.0213
0.8900,4.61800000E-06,0.0208
0.9000,4.18200000E-06,0.0219
0.9100,3.93200000E-06,0.0226
0.9200,3.64200000E-06,0.0234
0.9300,3.53200000E-06,0.0238
0.9400,3.40400000E-06,0.0242
0.9500,3.67800000E-06,0.0233
0.9600,3.42200000E-06,0.0242
0.9700,3.53600000E-06,0.0238
0.9800,3.79000000E-06,0.023
0.9900,4.02000000E-06,0.0223
1.0000,4.49400000E-06,0.0211
1.0100,5.22600000E-06,0.0196
1.0200,5.21600000E-06,0.0196
1.0300,4.82200000E-06,0.0204
1.0400,4.21600000E-06,0.0218
1.0500,3.36000000E-06,0.0244
1.0600,3.13200000E-06,0.0253
1.0700,2.95800000E-06,0.026
1.0800,3.05800000E-06,0.0256
1.0900,3.05000000E-06,0.0256
1.1000,3.13400000E-06,0.0253
1.1100,3.20400000E-06,0.025
1.1200,3.30400000E-06,0.0246
1.1300,3.37600000E-06,0.0243
1.1400,3.54000000E-06,0.0238
1.1500,3.77400000E-06,0.023
1.1600,3.86200000E-06,0.0228
1.1700,3.72600000E-06,0.0232
1.1800,3.65800000E-06,0.0234
1.1900,3.50800000E-06,0.0239
1.2000,3.03400000E-06,0.0257
1.2100,3.07000000E-06,0.0255
1.2200,3.06200000E-06,0.0256
1.2300,2.91200000E-06,0.0262
1.2400,2.83000000E-06,0.0266
1.2500,2.86000000E-06,0.0264
1.2600,2.98000000E-06,0.0259
1.2700,2.80000000E-06,0.0267
1.2800,3.03000000E-06,0.0257
1.2900,2.98800000E-06,0.0259
1.3000,2.97000000E-06,0.0259
1.3100,3.00600000E-06,0.0258
1.3200,2.92400000E-06,0.0262
1.3300,3.04000000E-06,0.0256
1.3400,3.07600000E-06,0.0255
1.3500,3.21400000E-06,0.0249
1.3600,3.31800000E-06,0.0246
1.3700,3.47600000E-06,0.024
1.3800,3.46600000E-06,0.024
1.3900,3.27400000E-06,0.0247
1.4000,3.08800000E-06,0.0254
1.4100,3.06200000E-06,0.0256
1.4200,2.99400000E-06,0.0258
1.4300,2.96800000E-06,0.026
1.4400,2.77400000E-06,0.0269
1.4500,2.88400000E-06,0.0263
1.4600,2.70800000E-06,0.0272
1.4700,2.76600000E-06,0.0269
1.4800,2.74600000E-06,0.027
1.4900,2.85400000E-06,0.0265
1.5000,2.82200000E-06,0.0266
1.5100,2.65000000E-06,0.0275
1.5200,2.75200000E-06,0.027
1.5300,2.61000000E-06,0.0277
1.5400,2.79600000E-06,0.0267
1.5500,2.72200000E-06,0.0271
1.5600,2.72400000E-06,0.0271
1.5700,2.85800000E-06,0.0265
1.5800,2.99600000E-06,0.0258
1.5900,3.21600000E-06,0.0249
1.6000,3.44600000E-06,0.0241
1.6100,3.64600000E-06,0.0234
1.6200,3.64200000E-06,0.0234
1.6300,3.65600000E-06,0.0234
1.6400,3.36200000E-06,0.0244
1.6500,2.97600000E-06,0.0259
1.6600,2.81600000E-06,0.0267
1.6700,2.88400000E-06,0.0263
1.6800,2.81200000E-06,0.0267
1.6900,2.91200000E-06,0.0262
1.7000,2.98800000E-06,0.0259
1.7100,2.99200000E-06,0.0259
1.7200,3.15800000E-06,0.0252
1.7300,3.05600000E-06,0.0256
1.7400,2.94400000E-06,0.0261
1.7500,2.72400000E-06,0.0271
1.7600,2.61400000E-06,0.0277
1.7700,2.72800000E-06,0.0271
1.7800,2.90400000E-06,0.0262
1.7900,3.10600000E-06,0.0254
1.8000,3.23400000E-06,0.0249
1.8100,3.42600000E-06,0.0242
1.8200,3.38000000E-06,0.0243
1.8300,2.99000000E-06,0.0259
1.8400,2.87200000E-06,0.0264
1.8500,2.58600000E-06,0.0278
1.8600,2.46600000E-06,0.0285
1.8700,2.33200000E-06,0.0293
1.8800,2.53200000E-06,0.0281
1.8900,2.44600000E-06,0.0286
1.9000,2.45800000E-06,0.0285
1.9100,2.71200000E-06,0.0272
1.9200,2.62800000E-06,0.0276
1.9300,2.66000000E-06,0.0274
1.9400,2.55600000E-06,0.028
1.9500,2.54800000E-06,0.028
1.9600,2.64600000E-06,0.0275
1.9700,2.47800000E-06,0.0284
1.9800,2.56800000E-06,0.0279
1.9900,2.60800000E-06,0.0277
2.0000,2.59600000E-06,0.0278
2.0100,2.47200000E-06,0.0284
2.0200,2.52400000E-06,0.0281
2.0300,2.45400000E-06,0.0285
2.0400,2.23600000E-06,0.0299
2.0500,2.39000000E-06,0.0289
2.0600,2.15800000E-06,0.0304
2.0700,2.32600000E-06,0.0293
2.0800,2.19000000E-06,0.0302
2.0900,2.12000000E-06,0.0307
2.1000,2.21600000E-06,0.03
2.1100,2.20600000E-06,0.0301
2.1200,2.11400000E-06,0.0308
2.1300,2.11800000E-06,0.0307
2.1400,2.08600000E-06,0.031
2.1500,2.16600000E-06,0.0304
2.1600,2.16000000E-06,0.0304
2.1700,2.40400000E-06,0.0288
2.1800,2.47800000E-06,0.0284
2.1900,3.08400000E-06,0.0255
2.2000,3.37200000E-06,0.0244
2.2100,3.70200000E-06,0.0232
2.2200,3.85200000E-06,0.0228
2.2300,3.67800000E-06,0.0233
2.2400,3.22600000E-06,0.0249
2.2500,3.00600000E-06,0.0258
2.2600,2.76400000E-06,0.0269
2.2700,2.43200000E-06,0.0287
2.2800,2.49200000E-06,0.0283
2.2900,2.51200000E-06,0.0282
2.3000,2.61800000E-06,0.0276
2.3100,2.43400000E-06,0.0287
2.3200,2.44200000E-06,0.0286
2.3300,2.09800000E-06,0.0309
2.3400,2.07600000E-06,0.031
2.3500,2.04400000E-06,0.0313
2.3600,2.08800000E-06,0.0309
2.3700,2.10200000E-06,0.0308
2.3800,2.12600000E-06,0.0307
