Energy_MeV,F8_Response,Relative_Error
0.0000,8.38800000E-04,0.0035
0.0100,7.02470000E-04,0.0038
0.0200,1.49050000E-04,0.0082
0.0300,1.62000000E-05,0.0248
0.0400,1.21600000E-05,0.0287
0.0500,1.33300000E-05,0.0274
0.0600,1.41200000E-05,0.0266
0.0700,1.50700000E-05,0.0258
0.0800,1.74400000E-05,0.0239
0.0900,2.16900000E-05,0.0215
0.1000,2.31600000E-05,0.0208
0.1100,2.58100000E-05,0.0197
0.1200,2.70500000E-05,0.0192
0.1300,2.64800000E-05,0.0194
0.1400,2.70900000E-05,0.0192
0.1500,2.76200000E-05,0.019
0.1600,2.69000000E-05,0.0193
0.1700,2.79400000E-05,0.0189
0.1800,2.64500000E-05,0.0194
0.1900,2.44300000E-05,0.0202
0.2000,2.31100000E-05,0.0208
0.2100,2.27200000E-05,0.021
0.2200,2.13400000E-05,0.0216
0.2300,2.05100000E-05,0.0221
0.2400,2.12400000E-05,0.0217
0.2500,1.90300000E-05,0.0229
0.2600,1.94300000E-05,0.0227
0.2700,1.91000000E-05,0.0229
0.2800,1.85500000E-05,0.0232
0.2900,1.84200000E-05,0.0233
0.3000,1.83400000E-05,0.0234
0.3100,1.72200000E-05,0.0241
0.3200,1.58000000E-05,0.0252
0.3300,1.42500000E-05,0.0265
0.3400,1.27600000E-05,0.028
0.3500,1.31700000E-05,0.0276
0.3600,1.10400000E-05,0.0301
0.3700,1.08100000E-05,0.0304
0.3800,1.11700000E-05,0.0299
0.3900,1.01900000E-05,0.0313
0.4000,9.50000000E-06,0.0324
0.4100,9.43000000E-06,0.0326
0.4200,8.89000000E-06,0.0335
0.4300,9.29000000E-06,0.0328
0.4400,8.75000000E-06,0.0338
0.4500,8.42000000E-06,0.0345
0.4600,8.41000000E-06,0.0345
0.4700,8.22000000E-06,0.0349
0.4800,9.01000000E-06,0.0333
0.4900,1.09900000E-05,0.0302
0.5000,1.43700000E-05,0.0264
0.5100,1.77700000E-05,0.0237
0.5200,1.85600000E-05,0.0232
0.5300,1.37900000E-05,0.0269
0.5400,9.64000000E-06,0.0322
0.5500,7.48000000E-06,0.0366
0.5600,5.89000000E-06,0.0412
0.5700,5.70000000E-06,0.0419
0.5800,6.22000000E-06,0.0401
0.5900,5.48000000E-06,0.0427
0.6000,5.45000000E-06,0.0428
0.6100,5.20000000E-06,0.0439
0.6200,5.27000000E-06,0.0436
0.6300,5.30000000E-06,0.0434
0.6400,5.21000000E-06,0.0438
0.6500,4.93000000E-06,0.045
0.6600,4.74000000E-06,0.0459
0.6700,4.42000000E-06,0.0476
0.6800,5.20000000E-06,0.0439
0.6900,4.48000000E-06,0.0472
0.7000,4.40000000E-06,0.0477
0.7100,4.03000000E-06,0.0498
0.7200,4.70000000E-06,0.0461
0.7300,4.82000000E-06,0.0455
0.7400,5.04000000E-06,0.0445
0.7500,6.64000000E-06,0.0388
0.7600,7.59000000E-06,0.0363
0.7700,7.81000000E-06,0.0358
0.7800,7.08000000E-06,0.0376
0.7900,6.18000000E-06,0.0402
0.8000,4.73000000E-06,0.046
0.8100,3.95000000E-06,0.0503
0.8200,4.22000000E-06,0.0487
0.8300,4.28000000E-06,0.0483
0.8400,4.46000000E-06,0.0474
0.8500,4.79000000E-06,0.0457
0.8600,4.69000000E-06,0.0462
0.8700,4.41000000E-06,0.0476
0.8800,4.18000000E-06,0.0489
0.8900,4.51000000E-06,0.0471
0.9000,4.03000000E-06,0.0498
0.9100,3.71000000E-06,0.0519
0.9200,3.48000000E-06,0.0536
0.9300,3.25000000E-06,0.0555
0.9400,3.13000000E-06,0.0565
0.9500,3.48000000E-06,0.0536
0.9600,3.03000000E-06,0.0574
0.9700,3.16000000E-06,0.0563
0.9800,3.19000000E-06,0.056
0.9900,3.55000000E-06,0.0531
1.0000,4.39000000E-06,0.0477
1.0100,5.01000000E-06,0.0447
1.0200,4.86000000E-06,0.0454
1.0300,4.79000000E-06,0.0457
1.0400,4.41000000E-06,0.0476
1.0500,3.18000000E-06,0.0561
1.0600,2.92000000E-06,0.0585
1.0700,2.49000000E-06,0.0634
1.0800,2.93000000E-06,0.0584
1.0900,2.87000000E-06,0.059
1.1000,2.95000000E-06,0.0582
1.1100,3.02000000E-06,0.0575
1.1200,3.06000000E-06,0.0572
1.1300,3.13000000E-06,0.0565
1.1400,3.29000000E-06,0.0551
1.1500,3.75000000E-06,0.0516
1.1600,3.73000000E-06,0.0518
1.1700,3.38000000E-06,0.0544
1.1800,2.90000000E-06,0.0587
1.1900,3.25000000E-06,0.0555
1.2000,2.92000000E-06,0.0585
1.2100,2.77000000E-06,0.0601
1.2200,2.51000000E-06,0.0631
1.2300,2.92000000E-06,0.0585
1.2400,2.57000000E-06,0.0624
1.2500,2.71000000E-06,0.0607
1.2600,2.54000000E-06,0.0627
1.2700,2.84000000E-06,0.0593
1.2800,2.72000000E-06,0.0606
1.2900,3.17000000E-06,0.0562
1.3000,2.94000000E-06,0.0583
1.3100,2.75000000E-06,0.0603
1.3200,2.65000000E-06,0.0614
1.3300,3.11000000E-06,0.0567
1.3400,3.12000000E-06,0.0566
1.3500,2.75000000E-06,0.0603
1.3600,3.06000000E-06,0.0572
1.3700,3.38000000E-06,0.0544
1.3800,3.15000000E-06,0.0563
1.3900,3.13000000E-06,0.0565
1.4000,2.63000000E-06,0.0617
1.4100,2.83000000E-06,0.0594
1.4200,2.69000000E-06,0.061
1.4300,2.55000000E-06,0.0626
1.4400,2.72000000E-06,0.0606
1.4500,2.99000000E-06,0.0578
1.4600,2.56000000E-06,0.0625
1.4700,2.42000000E-06,0.0643
1.4800,2.50000000E-06,0.0632
1.4900,2.84000000E-06,0.0593
1.5000,2.42000000E-06,0.0643
1.5100,2.73000000E-06,0.0605
1.5200,2.66000000E-06,0.0613
1.5300,2.61000000E-06,0.0619
1.5400,2.85000000E-06,0.0592
1.5500,2.88000000E-06,0.0589
1.5600,2.67000000E-06,0.0612
1.5700,2.47000000E-06,0.0636
1.5800,2.84000000E-06,0.0593
1.5900,3.05000000E-06,0.0573
1.6000,3.16000000E-06,0.0563
1.6100,3.58000000E-06,0.0529
1.6200,3.68000000E-06,0.0521
1.6300,3.65000000E-06,0.0523
1.6400,3.43000000E-06,0.054
1.6500,2.71000000E-06,0.0607
1.6600,2.81000000E-06,0.0597
1.6700,2.76000000E-06,0.0602
1.6800,2.77000000E-06,0.0601
1.6900,2.87000000E-06,0.059
1.7000,2.85000000E-06,0.0592
1.7100,3.10000000E-06,0.0568
1.7200,3.14000000E-06,0.0564
1.7300,2.81000000E-06,0.0597
1.7400,2.61000000E-06,0.0619
1.7500,2.48000000E-06,0.0635
1.7600,2.60000000E-06,0.062
1.7700,2.58000000E-06,0.0623
1.7800,3.02000000E-06,0.0575
1.7900,3.14000000E-06,0.0564
1.8000,3.21000000E-06,0.0558
1.8100,3.06000000E-06,0.0572
1.8200,2.86000000E-06,0.0591
1.8300,2.76000000E-06,0.0602
1.8400,2.87000000E-06,0.059
1.8500,2.60000000E-06,0.062
1.8600,2.26000000E-06,0.0665
1.8700,2.27000000E-06,0.0664
1.8800,2.58000000E-06,0.0623
1.8900,2.24000000E-06,0.0668
1.9000,2.25000000E-06,0.0667
1.9100,2.52000000E-06,0.063
1.9200,2.33000000E-06,0.0655
1.9300,2.61000000E-06,0.0619
1.9400,2.65000000E-06,0.0614
1.9500,2.14000000E-06,0.0684
1.9600,2.39000000E-06,0.0647
1.9700,2.11000000E-06,0.0688
1.9800,2.47000000E-06,0.0636
1.9900,2.64000000E-06,0.0615
2.0000,2.42000000E-06,0.0643
2.0100,2.41000000E-06,0.0644
2.0200,2.27000000E-06,0.0664
2.0300,2.35000000E-06,0.0652
2.0400,1.90000000E-06,0.0725
2.0500,2.05000000E-06,0.0698
2.0600,2.15000000E-06,0.0682
2.0700,2.07000000E-06,0.0695
2.0800,2.24000000E-06,0.0668
2.0900,2.10000000E-06,0.069
2.1000,2.16000000E-06,0.068
2.1100,2.10000000E-06,0.069
2.1200,1.88000000E-06,0.0729
2.1300,1.81000000E-06,0.0743
2.1400,1.85000000E-06,0.0735
2.1500,1.88000000E-06,0.0729
2.1600,2.24000000E-06,0.0668
2.1700,2.37000000E-06,0.065
2.1800,2.38000000E-06,0.0648
2.1900,3.14000000E-06,0.0564
2.2000,3.24000000E-06,0.0556
2.2100,3.36000000E-06,0.0546
2.2200,3.62000000E-06,0.0526
2.2300,3.54000000E-06,0.0531
2.2400,2.74000000E-06,0.0604
2.2500,2.69000000E-06,0.061
2.2600,2.73000000E-06,0.0605
2.2700,2.44000000E-06,0.064
2.2800,2.41000000E-06,0.0644
2.2900,2.58000000E-06,0.0623
2.3000,2.39000000E-06,0.0647
2.3100,2.36000000E-06,0.0651
2.3200,2.34000000E-06,0.0654
2.3300,2.10000000E-06,0.069
2.3400,2.01000000E-06,0.0705
2.3500,1.99000000E-06,0.0709
2.3600,2.03000000E-06,0.0702
2.3700,2.02000000E-06,0.0704
2.3800,2.23000000E-06,0.067
2.3900,2.04000000E-06,0.07
2.4000,1.75000000E-06,0.0756
2.4100,2.21000000E-06,0.0673
2.4200,1.83000000E-06,0.0739
2.4300,1.77000000E-06,0.0752
2.4400,1.67000000E-06,0.0774
2.4500,2.01000000E-06,0.0705
2.4600,1.96000000E-06,0.0714
2.4700,2.03000000E-06,0.0702
2.4800,2.10000000E-06,0.069
2.4900,2.11000000E-06,0.0688
2.5000,1.93000000E-06,0.072
2.5100,1.90000000E-06,0.0725
2.5200,2.10000000E-06,0.069
2.5300,1.96000000E-06,0.0714
2.5400,2.29000000E-06,0.0661
2.5500,1.93000000E-06,0.072
2.5600,1.81000000E-06,0.0743
2.5700,1.81000000E-06,0.0743
2.5800,2.00000000E-06,0.0707
2.5900,1.87000000E-06,0.0731
2.6000,2.09000000E-06,0.0692
2.6100,1.75000000E-06,0.0756
2.6200,1.90000000E-06,0.0725
2.6300,2.06000000E-06,0.0697
2.6400,1.52000000E-06,0.0811
2.6500,2.16000000E-06,0.068
2.6600,1.95000000E-06,0.0716
2.6700,2.08000000E-06,0.0693
2.6800,2.18000000E-06,0.0677
2.6900,2.08000000E-06,0.0693
2.7000,2.65000000E-06,0.0614
2.7100,2.41000000E-06,0.0644
2.7200,2.49000000E-06,0.0634
2.7300,2.62000000E-06,0.0618
2.7400,3.01000000E-06,0.0576
2.7500,2.72000000E-06,0.0606
2.7600,2.47000000E-06,0.0636
2.7700,2.50000000E-06,0.0632
2.7800,2.48000000E-06,0.0635
2.7900,2.14000000E-06,0.0684
2.8000,2.04000000E-06,0.07
2.8100,2.08000000E-06,0.0693
2.8200,2.35000000E-06,0.0652
2.8300,2.36000000E-06,0.0651
2.8400,2.19000000E-06,0.0676
2.8500,2.24000000E-06,0.0668
2.8600,2.13000000E-06,0.0685
2.8700,1.92000000E-06,0.0722
2.8800,1.90000000E-06,0.0725
2.8900,1.82000000E-06,0.0741
2.9000,1.91000000E-06,0.0724
2.9100,2.16000000E-06,0.068
2.9200,1.75000000E-06,0.0756
2.9300,1.98000000E-06,0.0711
2.9400,1.98000000E-06,0.0711
2.9500,1.80000000E-06,0.0745
2.9600,1.99000000E-06,0.0709
2.9700,2.03000000E-06,0.0702
2.9800,2.04000000E-06,0.07
2.9900,2.11000000E-06,0.0688
3.0000,2.44000000E-06,0.064
3.0100,2.21000000E-06,0.0673
3.0200,2.08000000E-06,0.0693
3.0300,2.03000000E-06,0.0702
3.0400,2.07000000E-06,0.0695
3.0500,1.78000000E-06,0.075
3.0600,1.75000000E-06,0.0756
3.0700,1.94000000E-06,0.0718
3.0800,1.76000000E-06,0.0754
3.0900,2.03000000E-06,0.0702
3.1000,1.92000000E-06,0.0722
3.1100,1.74000000E-06,0.0758
3.1200,1.98000000E-06,0.0711
3.1300,1.96000000E-06,0.0714
3.1400,1.87000000E-06,0.0731
3.1500,2.18000000E-06,0.0677
3.1600,2.38000000E-06,0.0648
3.1700,2.38000000E-06,0.0648
3.1800,2.28000000E-06,0.0662
3.1900,2.26000000E-06,0.0665
3.2000,2.63000000E-06,0.0617
3.2100,2.41000000E-06,0.0644
3.2200,2.48000000E-06,0.0635
3.2300,2.34000000E-06,0.0654
3.2400,2.39000000E-06,0.0647
3.2500,2.40000000E-06,0.0645
3.2600,2.32000000E-06,0.0657
3.2700,2.25000000E-06,0.0667
3.2800,2.05000000E-06,0.0698
3.2900,1.88000000E-06,0.0729
3.3000,2.04000000E-06,0.07
3.3100,1.91000000E-06,0.0724
3.3200,1.84000000E-06,0.0737
