Energy_MeV,F8_Response,Relative_Error
0.0000,8.40019000E-04,0.0013
0.0100,7.00873000E-04,0.0014
0.0200,1.48640000E-04,0.0031
0.0300,1.61614000E-05,0.0094
0.0400,1.23300000E-05,0.0108
0.0500,1.30829000E-05,0.0104
0.0600,1.39586000E-05,0.0101
0.0700,1.54929000E-05,0.0096
0.0800,1.77871000E-05,0.009
0.0900,2.09414000E-05,0.0083
0.1000,2.32614000E-05,0.0078
0.1100,2.54600000E-05,0.0075
0.1200,2.69700000E-05,0.0073
0.1300,2.71929000E-05,0.0072
0.1400,2.74329000E-05,0.0072
0.1500,2.73329000E-05,0.0072
0.1600,2.77900000E-05,0.0072
0.1700,2.76257000E-05,0.0072
0.1800,2.68300000E-05,0.0073
0.1900,2.45857000E-05,0.0076
0.2000,2.31500000E-05,0.0079
0.2100,2.24800000E-05,0.008
0.2200,2.17300000E-05,0.0081
0.2300,2.10214000E-05,0.0082
0.2400,2.07800000E-05,0.0083
0.2500,1.98329000E-05,0.0085
0.2600,1.96800000E-05,0.0085
0.2700,1.93214000E-05,0.0086
0.2800,1.85671000E-05,0.0088
0.2900,1.88329000E-05,0.0087
0.3000,1.84400000E-05,0.0088
0.3100,1.73114000E-05,0.0091
0.3200,1.56057000E-05,0.0096
0.3300,1.40843000E-05,0.0101
0.3400,1.32114000E-05,0.0104
0.3500,1.26743000E-05,0.0106
0.3600,1.15043000E-05,0.0111
0.3700,1.10543000E-05,0.0114
0.3800,1.05386000E-05,0.0116
0.3900,1.02071000E-05,0.0118
0.4000,9.99714000E-06,0.012
0.4100,9.56286000E-06,0.0122
0.4200,9.22143000E-06,0.0124
0.4300,9.12571000E-06,0.0125
0.4400,8.74429000E-06,0.0128
0.4500,8.42429000E-06,0.013
0.4600,8.36286000E-06,0.0131
0.4700,8.16143000E-06,0.0132
0.4800,8.65143000E-06,0.0129
0.4900,1.05600000E-05,0.0116
0.5000,1.39971000E-05,0.0101
0.5100,1.77029000E-05,0.009
0.5200,1.80300000E-05,0.0089
0.5300,1.42386000E-05,0.01
0.5400,9.77714000E-06,0.0121
0.5500,7.20000000E-06,0.0141
0.5600,6.21286000E-06,0.0152
0.5700,5.93000000E-06,0.0155
0.5800,5.83286000E-06,0.0156
0.5900,5.46714000E-06,0.0162
0.6000,5.35714000E-06,0.0163
0.6100,5.34429000E-06,0.0163
0.6200,5.28143000E-06,0.0164
0.6300,5.08429000E-06,0.0168
0.6400,5.22857000E-06,0.0165
0.6500,5.02429000E-06,0.0169
0.6600,4.81429000E-06,0.0172
0.6700,4.82143000E-06,0.0172
0.6800,4.77571000E-06,0.0173
0.6900,4.59286000E-06,0.0176
0.7000,4.43429000E-06,0.0179
0.7100,4.39857000E-06,0.018
0.7200,4.53143000E-06,0.0178
0.7300,4.88857000E-06,0.0171
0.7400,5.42714000E-06,0.0162
0.7500,6.53429000E-06,0.0148
0.7600,7.30286000E-06,0.014
0.7700,7.73143000E-06,0.0136
0.7800,7.14857000E-06,0.0141
0.7900,5.96714000E-06,0.0155
0.8000,5.03000000E-06,0.0169
0.8100,4.26857000E-06,0.0183
0.8200,4.24429000E-06,0.0183
0.8300,4.23286000E-06,0.0184
0.8400,4.49143000E-06,0.0178
0.8500,4.73286000E-06,0.0174
0.8600,4.54429000E-06,0.0177
0.8700,4.36571000E-06,0.0181
0.8800,4.29286000E-06,0.0182
0.8900,4.28571000E-06,0.0183
0.9000,4.03000000E-06,0.0188
0.9100,3.77000000E-06,0.0195
0.9200,3.52429000E-06,0.0201
0.9300,3.34286000E-06,0.0207
0.9400,3.26429000E-06,0.0209
0.9500,3.41857000E-06,0.0204
0.9600,3.28000000E-06,0.0209
0.9700,3.41000000E-06,0.0205
0.9800,3.68857000E-06,0.0197
0.9900,3.86571000E-06,0.0192
1.0000,4.43571000E-06,0.0179
1.0100,4.94286000E-06,0.017
1.0200,4.98286000E-06,0.0169
1.0300,4.66714000E-06,0.0175
1.0400,3.95571000E-06,0.019
1.0500,3.24571000E-06,0.021
1.0600,2.93286000E-06,0.0221
1.0700,2.76571000E-06,0.0227
1.0800,2.93714000E-06,0.0221
1.0900,2.88000000E-06,0.0223
1.1000,3.00714000E-06,0.0218
1.1100,3.03714000E-06,0.0217
1.1200,3.10857000E-06,0.0214
1.1300,3.18429000E-06,0.0212
1.1400,3.41143000E-06,0.0205
1.1500,3.55429000E-06,0.02
1.1600,3.67571000E-06,0.0197
1.1700,3.56857000E-06,0.02
1.1800,3.43714000E-06,0.0204
1.1900,3.32429000E-06,0.0207
1.2000,3.00429000E-06,0.0218
1.2100,2.89143000E-06,0.0222
1.2200,2.84857000E-06,0.0224
1.2300,2.80143000E-06,0.0226
1.2400,2.66571000E-06,0.0231
1.2500,2.75571000E-06,0.0228
1.2600,2.82286000E-06,0.0225
1.2700,2.60143000E-06,0.0234
1.2800,2.82714000E-06,0.0225
1.2900,2.85143000E-06,0.0224
1.3000,2.78286000E-06,0.0227
1.3100,2.83286000E-06,0.0225
1.3200,2.79286000E-06,0.0226
1.3300,2.84286000E-06,0.0224
1.3400,2.93714000E-06,0.0221
1.3500,3.02857000E-06,0.0217
1.3600,3.20143000E-06,0.0211
1.3700,3.34286000E-06,0.0207
1.3800,3.22143000E-06,0.0211
1.3900,3.16714000E-06,0.0212
1.4000,2.96429000E-06,0.022
1.4100,2.83714000E-06,0.0224
1.4200,2.77143000E-06,0.0227
1.4300,2.80286000E-06,0.0226
1.4400,2.71000000E-06,0.023
1.4500,2.61429000E-06,0.0234
1.4600,2.57286000E-06,0.0236
1.4700,2.62714000E-06,0.0233
1.4800,2.63857000E-06,0.0233
1.4900,2.62286000E-06,0.0233
1.5000,2.67000000E-06,0.0231
1.5100,2.53857000E-06,0.0237
1.5200,2.65429000E-06,0.0232
1.5300,2.49857000E-06,0.0239
1.5400,2.56143000E-06,0.0236
1.5500,2.54857000E-06,0.0237
1.5600,2.56857000E-06,0.0236
1.5700,2.71429000E-06,0.0229
1.5800,2.85429000E-06,0.0224
1.5900,3.06286000E-06,0.0216
1.6000,3.21000000E-06,0.0211
1.6100,3.46000000E-06,0.0203
1.6200,3.52000000E-06,0.0201
1.6300,3.39143000E-06,0.0205
1.6400,3.18000000E-06,0.0212
1.6500,2.77000000E-06,0.0227
1.6600,2.71286000E-06,0.0229
1.6700,2.77571000E-06,0.0227
1.6800,2.65429000E-06,0.0232
1.6900,2.80714000E-06,0.0226
1.7000,2.93429000E-06,0.0221
1.7100,3.00571000E-06,0.0218
1.7200,2.95714000E-06,0.022
1.7300,2.88429000E-06,0.0223
1.7400,2.74857000E-06,0.0228
1.7500,2.56143000E-06,0.0236
1.7600,2.52714000E-06,0.0238
1.7700,2.49571000E-06,0.0239
1.7800,2.75714000E-06,0.0228
1.7900,2.96429000E-06,0.022
1.8000,3.08143000E-06,0.0215
1.8100,3.25286000E-06,0.021
1.8200,3.15429000E-06,0.0213
1.8300,2.94429000E-06,0.022
1.8400,2.86714000E-06,0.0223
1.8500,2.42429000E-06,0.0243
1.8600,2.32857000E-06,0.0248
1.8700,2.31143000E-06,0.0249
1.8800,2.46571000E-06,0.0241
1.8900,2.36286000E-06,0.0246
1.9000,2.41000000E-06,0.0243
1.9100,2.51857000E-06,0.0238
1.9200,2.51143000E-06,0.0239
1.9300,2.57857000E-06,0.0235
1.9400,2.44857000E-06,0.0242
1.9500,2.45286000E-06,0.0241
1.9600,2.58571000E-06,0.0235
1.9700,2.43000000E-06,0.0242
1.9800,2.45857000E-06,0.0241
1.9900,2.42857000E-06,0.0243
2.0000,2.44143000E-06,0.0242
2.0100,2.37714000E-06,0.0245
2.0200,2.31143000E-06,0.0249
2.0300,2.29857000E-06,0.0249
2.0400,2.13571000E-06,0.0259
2.0500,2.17857000E-06,0.0256
2.0600,2.05714000E-06,0.0264
2.0700,2.22286000E-06,0.0254
2.0800,2.07000000E-06,0.0263
2.0900,2.06143000E-06,0.0263
2.1000,2.05714000E-06,0.0264
2.1100,2.17714000E-06,0.0256
2.1200,1.98714000E-06,0.0268
2.1300,2.01571000E-06,0.0266
2.1400,2.04143000E-06,0.0265
2.1500,2.06714000E-06,0.0263
2.1600,2.06000000E-06,0.0263
2.1700,2.31857000E-06,0.0248
2.1800,2.41429000E-06,0.0243
2.1900,2.91714000E-06,0.0221
2.2000,3.23000000E-06,0.021
2.2100,3.55571000E-06,0.02
2.2200,3.63429000E-06,0.0198
2.2300,3.49143000E-06,0.0202
2.2400,3.10571000E-06,0.0214
2.2500,2.81286000E-06,0.0225
2.2600,2.66714000E-06,0.0231
2.2700,2.31571000E-06,0.0248
2.2800,2.41286000E-06,0.0243
2.2900,2.37000000E-06,0.0246
2.3000,2.39000000E-06,0.0244
2.3100,2.27000000E-06,0.0251
2.3200,2.24286000E-06,0.0252
2.3300,2.04000000E-06,0.0265
2.3400,2.00714000E-06,0.0267
2.3500,1.91429000E-06,0.0273
2.3600,1.93286000E-06,0.0272
2.3700,1.96286000E-06,0.027
