Energy_MeV,F8_Response,Relative_Error
0.0000,6.03308000E-04,0.0018
0.0100,5.04008000E-04,0.002
0.0200,1.07008000E-04,0.0043
0.0300,1.15680000E-05,0.0131
0.0400,9.04200000E-06,0.0149
0.0500,9.40600000E-06,0.0146
0.0600,1.01000000E-05,0.0141
0.0700,1.11880000E-05,0.0134
0.0800,1.32660000E-05,0.0123
0.0900,1.53620000E-05,0.0114
0.1000,1.71260000E-05,0.0108
0.1100,1.88300000E-05,0.0103
0.1200,1.95700000E-05,0.0101
0.1300,2.00420000E-05,0.01
0.1400,1.99400000E-05,0.01
0.1500,1.98420000E-05,0.01
0.1600,2.05560000E-05,0.0099
0.1700,2.02600000E-05,0.0099
0.1800,1.99200000E-05,0.01
0.1900,1.82260000E-05,0.0105
0.2000,1.66800000E-05,0.0109
0.2100,1.62600000E-05,0.0111
0.2200,1.59020000E-05,0.0112
0.2300,1.55320000E-05,0.0113
0.2400,1.52620000E-05,0.0114
0.2500,1.44720000E-05,0.0118
0.2600,1.41400000E-05,0.0119
0.2700,1.42220000E-05,0.0119
0.2800,1.39780000E-05,0.012
0.2900,1.37900000E-05,0.012
0.3000,1.37080000E-05,0.0121
0.3100,1.26600000E-05,0.0126
0.3200,1.16440000E-05,0.0131
0.3300,1.04620000E-05,0.0138
0.3400,9.77400000E-06,0.0143
0.3500,9.27000000E-06,0.0147
0.3600,8.50000000E-06,0.0153
0.3700,8.11400000E-06,0.0157
0.3800,7.75000000E-06,0.0161
0.3900,7.43000000E-06,0.0164
0.4000,7.17800000E-06,0.0167
0.4100,7.04000000E-06,0.0169
0.4200,6.81800000E-06,0.0171
0.4300,6.77200000E-06,0.0172
0.4400,6.33400000E-06,0.0178
0.4500,6.20400000E-06,0.018
0.4600,6.04000000E-06,0.0182
0.4700,5.89400000E-06,0.0184
0.4800,6.27200000E-06,0.0179
0.4900,7.85600000E-06,0.016
0.5000,1.04020000E-05,0.0139
0.5100,1.34440000E-05,0.0122
0.5200,1.33420000E-05,0.0122
0.5300,1.03580000E-05,0.0139
0.5400,7.26600000E-06,0.0166
0.5500,5.29000000E-06,0.0194
0.5600,4.51400000E-06,0.021
0.5700,4.26400000E-06,0.0217
0.5800,4.32600000E-06,0.0215
0.5900,4.10400000E-06,0.0221
0.6000,3.78800000E-06,0.023
0.6100,3.80800000E-06,0.0229
0.6200,3.84200000E-06,0.0228
0.6300,3.74600000E-06,0.0231
0.6400,3.78600000E-06,0.023
0.6500,3.58200000E-06,0.0236
0.6600,3.61800000E-06,0.0235
0.6700,3.46400000E-06,0.024
0.6800,3.51800000E-06,0.0238
0.6900,3.24200000E-06,0.0248
0.7000,3.22200000E-06,0.0249
0.7100,3.27400000E-06,0.0247
0.7200,3.26000000E-06,0.0248
0.7300,3.47800000E-06,0.024
0.7400,3.99000000E-06,0.0224
0.7500,4.73000000E-06,0.0206
0.7600,5.38000000E-06,0.0193
0.7700,5.46600000E-06,0.0191
0.7800,5.29200000E-06,0.0194
0.7900,4.41200000E-06,0.0213
0.8000,3.59800000E-06,0.0236
0.8100,2.99600000E-06,0.0258
0.8200,3.13600000E-06,0.0253
0.8300,3.17800000E-06,0.0251
0.8400,3.38800000E-06,0.0243
0.8500,3.52200000E-06,0.0238
0.8600,3.39400000E-06,0.0243
0.8700,3.11200000E-06,0.0254
0.8800,3.07200000E-06,0.0255
0.8900,3.08200000E-06,0.0255
0.9000,2.91200000E-06,0.0262
0.9100,2.73400000E-06,0.027
0.9200,2.57800000E-06,0.0279
0.9300,2.43400000E-06,0.0287
