Energy_MeV,F8 脉冲高度响应,Relative_Error
1.89,2.45714e-06,0.0241
1.9,2.59429e-06,0.0235
1.91,2.58429e-06,0.0235
1.92,2.61714e-06,0.0234
1.93,2.63857e-06,0.0233
1.94,2.67143e-06,0.0231
1.95,2.64571e-06,0.0232
1.96,2.56429e-06,0.0236
1.97,2.63e-06,0.0233
1.98,2.55429e-06,0.0236
1.99,2.47e-06,0.024
2,2.46714e-06,0.0241
2.01,2.36143e-06,0.0246
2.02,2.43857e-06,0.0242
2.03,2.28e-06,0.025
2.04,2.28143e-06,0.025
2.05,2.25857e-06,0.0251
2.06,2.10286e-06,0.0261
2.07,2.12e-06,0.026
2.08,2.03857e-06,0.0265
2.09,2.05429e-06,0.0264
2.1,2.16e-06,0.0257
2.11,2.14714e-06,0.0258
2.12,2.11857e-06,0.026
2.13,2.17429e-06,0.0256
2.14,2.00714e-06,0.0267
2.15,2.11286e-06,0.026
2.16,2.18429e-06,0.0256
2.17,2.27714e-06,0.025
2.18,2.57714e-06,0.0235
2.19,2.98e-06,0.0219
2.2,3.56857e-06,0.02
2.21,3.84714e-06,0.0193
2.22,3.84e-06,0.0193
2.23,3.64e-06,0.0198
2.24,3.21857e-06,0.0211
2.25,2.79714e-06,0.0226
2.26,2.61857e-06,0.0234
2.27,2.54857e-06,0.0237
2.28,2.41286e-06,0.0243
2.29,2.42429e-06,0.0243
2.3,2.46e-06,0.0241
2.31,2.39857e-06,0.0244
2.32,2.27857e-06,0.025
2.33,2.17143e-06,0.0256
2.34,2e-06,0.0267
2.35,1.89571e-06,0.0275
2.36,2.01857e-06,0.0266
2.37,1.94e-06,0.0271
2.38,2.04429e-06,0.0264
2.39,1.99857e-06,0.0267
2.4,1.97429e-06,0.0269
2.41,1.93857e-06,0.0271
2.42,1.99e-06,0.0268
2.43,1.93143e-06,0.0272
2.44,1.96571e-06,0.027
2.45,2.01e-06,0.0267
2.46,2.01714e-06,0.0266
2.47,2.21714e-06,0.0254
2.48,2.27714e-06,0.025
2.49,2.25286e-06,0.0252
2.5,2.31571e-06,0.0248
2.51,2.14e-06,0.0258
2.52,2.18714e-06,0.0256
2.53,2.05714e-06,0.0264
2.54,1.96e-06,0.027
2.55,2e-06,0.0267
2.56,1.90143e-06,0.0274
2.57,1.9e-06,0.0274
2.58,1.90143e-06,0.0274
2.59,1.96143e-06,0.027
2.6,1.87143e-06,0.0276
2.61,1.89857e-06,0.0274
2.62,1.89429e-06,0.0275
2.63,2.03429e-06,0.0265
2.64,2.04286e-06,0.0264
2.65,2.15714e-06,0.0257
2.66,2.15429e-06,0.0258
2.67,2.14714e-06,0.0258
2.68,2.37571e-06,0.0245
2.69,2.25286e-06,0.0252
2.7,2.31571e-06,0.0248
2.71,2.45286e-06,0.0241
2.72,2.7e-06,0.023
2.73,2.78429e-06,0.0227
2.74,2.96429e-06,0.022
2.75,2.75286e-06,0.0228
2.76,2.58e-06,0.0235
2.77,2.56571e-06,0.0236
2.78,2.36286e-06,0.0246
2.79,2.32857e-06,0.0248
2.8,2.30143e-06,0.0249
2.81,2.39857e-06,0.0244
2.82,2.33571e-06,0.0247
2.83,2.37286e-06,0.0245
2.84,2.24857e-06,0.0252
