Energy_MeV,F8_Response,Relative_Error
0.0000,8.91176000E-04,0.0015
0.0100,7.42464000E-04,0.0016
0.0200,1.57284000E-04,0.0036
0.0300,1.63680000E-05,0.0111
0.0400,1.25900000E-05,0.0126
0.0500,1.30300000E-05,0.0124
0.0600,1.38960000E-05,0.012
0.0700,1.47260000E-05,0.0117
0.0800,1.70060000E-05,0.0108
0.0900,1.95540000E-05,0.0101
0.1000,2.20840000E-05,0.0095
0.1100,2.38800000E-05,0.0092
0.1200,2.55520000E-05,0.0088
0.1300,2.56820000E-05,0.0088
0.1400,2.61200000E-05,0.0088
0.1500,2.54680000E-05,0.0089
0.1600,2.61320000E-05,0.0087
0.1700,2.62620000E-05,0.0087
0.1800,2.56060000E-05,0.0088
0.1900,2.39940000E-05,0.0091
0.2000,2.22180000E-05,0.0095
0.2100,2.13040000E-05,0.0097
0.2200,2.07300000E-05,0.0098
0.2300,2.07880000E-05,0.0098
0.2400,2.03180000E-05,0.0099
0.2500,1.95660000E-05,0.0101
0.2600,1.89260000E-05,0.0103
0.2700,1.90760000E-05,0.0102
0.2800,1.87740000E-05,0.0103
0.2900,1.89400000E-05,0.0103
0.3000,1.84360000E-05,0.0104
0.3100,1.73840000E-05,0.0107
0.3200,1.54600000E-05,0.0114
0.3300,1.36060000E-05,0.0121
0.3400,1.28440000E-05,0.0125
0.3500,1.21200000E-05,0.0128
0.3600,1.14220000E-05,0.0132
0.3700,1.07580000E-05,0.0136
0.3800,1.02460000E-05,0.014
0.3900,9.96400000E-06,0.0142
0.4000,9.85600000E-06,0.0142
0.4100,9.39000000E-06,0.0146
0.4200,8.93600000E-06,0.015
0.4300,8.92000000E-06,0.015
0.4400,8.29400000E-06,0.0155
0.4500,8.20800000E-06,0.0156
0.4600,7.93000000E-06,0.0159
0.4700,8.10200000E-06,0.0157
0.4800,8.51200000E-06,0.0153
0.4900,1.03640000E-05,0.0139
0.5000,1.41940000E-05,0.0119
0.5100,1.79400000E-05,0.0106
0.5200,1.81980000E-05,0.0105
0.5300,1.42700000E-05,0.0118
0.5400,9.88600000E-06,0.0142
0.5500,7.38400000E-06,0.0165
0.5600,6.30800000E-06,0.0178
0.5700,5.74600000E-06,0.0187
0.5800,5.84200000E-06,0.0185
0.5900,5.65400000E-06,0.0188
0.6000,5.55000000E-06,0.019
0.6100,5.37000000E-06,0.0193
0.6200,5.45600000E-06,0.0191
0.6300,5.22400000E-06,0.0196
0.6400,5.28600000E-06,0.0195
0.6500,4.97200000E-06,0.0201
0.6600,4.98400000E-06,0.02
0.6700,4.87400000E-06,0.0203
0.6800,4.90800000E-06,0.0202
0.6900,4.55200000E-06,0.021
0.7000,4.56400000E-06,0.0209
0.7100,4.56000000E-06,0.0209
0.7200,4.53800000E-06,0.021
0.7300,5.09000000E-06,0.0198
0.7400,5.68000000E-06,0.0188
0.7500,6.88000000E-06,0.017
0.7600,7.70000000E-06,0.0161
0.7700,8.18200000E-06,0.0156
0.7800,7.55600000E-06,0.0163
0.7900,6.28200000E-06,0.0178
0.8000,5.15600000E-06,0.0197
0.8100,4.50400000E-06,0.0211
0.8200,4.31000000E-06,0.0215
0.8300,4.40800000E-06,0.0213
0.8400,4.80600000E-06,0.0204
0.8500,5.04600000E-06,0.0199
0.8600,4.84600000E-06,0.0203
0.8700,4.57600000E-06,0.0209
0.8800,4.32000000E-06,0.0215
0.8900,4.33200000E-06,0.0215
0.9000,4.18000000E-06,0.0219
0.9100,3.93400000E-06,0.0225
0.9200,3.69000000E-06,0.0233
0.9300,3.50600000E-06,0.0239
0.9400,3.47000000E-06,0.024
0.9500,3.54400000E-06,0.0238
0.9600,3.41000000E-06,0.0242
0.9700,3.58600000E-06,0.0236
0.9800,3.77200000E-06,0.023
0.9900,4.17800000E-06,0.0219
1.0000,4.73000000E-06,0.0206
1.0100,5.40000000E-06,0.0192
1.0200,5.61600000E-06,0.0189
1.0300,5.06400000E-06,0.0199
1.0400,4.21600000E-06,0.0218
1.0500,3.28800000E-06,0.0247
1.0600,3.05600000E-06,0.0256
1.0700,3.03400000E-06,0.0257
1.0800,3.05400000E-06,0.0256
1.0900,3.06000000E-06,0.0256
1.1000,3.06200000E-06,0.0256
1.1100,3.06600000E-06,0.0255
1.1200,3.21000000E-06,0.025
1.1300,3.40000000E-06,0.0243
1.1400,3.49000000E-06,0.0239
1.1500,3.71200000E-06,0.0232
1.1600,3.90200000E-06,0.0226
1.1700,3.74400000E-06,0.0231
1.1800,3.57000000E-06,0.0237
1.1900,3.51200000E-06,0.0239
1.2000,3.10200000E-06,0.0254
1.2100,2.95400000E-06,0.026
1.2200,2.87600000E-06,0.0264
1.2300,2.80400000E-06,0.0267
1.2400,2.74200000E-06,0.027
1.2500,2.93600000E-06,0.0261
1.2600,2.86800000E-06,0.0264
1.2700,2.76200000E-06,0.0269
1.2800,2.89000000E-06,0.0263
1.2900,3.00200000E-06,0.0258
1.3000,3.06400000E-06,0.0255
1.3100,3.01200000E-06,0.0258
1.3200,2.95200000E-06,0.026
1.3300,3.07800000E-06,0.0255
1.3400,3.08000000E-06,0.0255
1.3500,3.27400000E-06,0.0247
1.3600,3.25200000E-06,0.0248
1.3700,3.34600000E-06,0.0244
1.3800,3.42600000E-06,0.0242
1.3900,3.31800000E-06,0.0246
1.4000,3.16400000E-06,0.0251
1.4100,3.14400000E-06,0.0252
1.4200,2.89000000E-06,0.0263
1.4300,2.96200000E-06,0.026
1.4400,2.89000000E-06,0.0263
1.4500,2.81800000E-06,0.0266
1.4600,2.76000000E-06,0.0269
1.4700,2.70600000E-06,0.0272
1.4800,2.71200000E-06,0.0272
1.4900,2.68400000E-06,0.0273
1.5000,2.85400000E-06,0.0265
1.5100,2.67000000E-06,0.0274
1.5200,2.66800000E-06,0.0274
1.5300,2.66400000E-06,0.0274
1.5400,2.79400000E-06,0.0268
1.5500,2.85000000E-06,0.0265
