Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.00086383,0.0034
0.01,0.00072144,0.0037
0.02,0.00015486,0.008
0.03,1.572e-05,0.0252
0.04,1.166e-05,0.0293
0.05,1.235e-05,0.0285
0.06,1.272e-05,0.028
0.07,1.368e-05,0.027
0.08,1.571e-05,0.0252
0.09,1.907e-05,0.0229
0.1,2.033e-05,0.0222
0.11,2.2e-05,0.0213
0.12,2.461e-05,0.0202
0.13,2.422e-05,0.0203
0.14,2.42e-05,0.0203
0.15,2.475e-05,0.0201
0.16,2.439e-05,0.0202
0.17,2.509e-05,0.02
0.18,2.378e-05,0.0205
0.19,2.258e-05,0.021
0.2,2.097e-05,0.0218
0.21,2.007e-05,0.0223
0.22,1.906e-05,0.0229
0.23,1.897e-05,0.023
0.24,1.972e-05,0.0225
0.25,1.788e-05,0.0236
0.26,1.795e-05,0.0236
0.27,1.815e-05,0.0235
0.28,1.745e-05,0.0239
0.29,1.72e-05,0.0241
0.3,1.677e-05,0.0244
0.31,1.628e-05,0.0248
0.32,1.506e-05,0.0258
0.33,1.243e-05,0.0284
0.34,1.238e-05,0.0284
0.35,1.151e-05,0.0295
0.36,1.083e-05,0.0304
0.37,1.042e-05,0.031
0.38,9.68e-06,0.0321
0.39,9.37e-06,0.0327
0.4,9.2e-06,0.033
0.41,8.62e-06,0.0341
0.42,8.4e-06,0.0345
0.43,8.43e-06,0.0344
0.44,8.02e-06,0.0353
0.45,7.84e-06,0.0357
0.46,7.8e-06,0.0358
0.47,8.05e-06,0.0352
0.48,8.35e-06,0.0346
0.49,9.79e-06,0.032
0.5,1.37e-05,0.027
0.51,1.736e-05,0.024
0.52,1.679e-05,0.0244
0.53,1.358e-05,0.0271
0.54,9.36e-06,0.0327
0.55,7.06e-06,0.0376
0.56,5.94e-06,0.041
0.57,5.12e-06,0.0442
0.58,5.86e-06,0.0413
0.59,5.26e-06,0.0436
0.6,5.38e-06,0.0431
0.61,5.05e-06,0.0445
0.62,5.14e-06,0.0441
0.63,5.17e-06,0.044
0.64,4.66e-06,0.0463
0.65,4.8e-06,0.0456
0.66,4.9e-06,0.0452
0.67,4.31e-06,0.0482
0.68,4.88e-06,0.0453
0.69,4.59e-06,0.0467
0.7,4.36e-06,0.0479
0.71,3.96e-06,0.0503
0.72,4.74e-06,0.0459
0.73,5.03e-06,0.0446
0.74,5.16e-06,0.044
0.75,6.81e-06,0.0383
