Energy_MeV,F8_Response_per_source_neutron,Relative_Error
6.09,8.9e-07,0.106
6.1,1.26e-06,0.0891
6.11,1.29e-06,0.088
6.12,1.45e-06,0.083
6.13,1.55e-06,0.0803
6.14,1.49e-06,0.0819
6.15,1.39e-06,0.0848
6.16,1.2e-06,0.0913
6.17,1.26e-06,0.0891
