Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.000865086,0.0015
0.01,0.000720362,0.0017
0.02,0.000152114,0.0036
0.03,1.5838e-05,0.0112
0.04,1.1544e-05,0.0132
0.05,1.2784e-05,0.0125
0.06,1.2918e-05,0.0124
0.07,1.426e-05,0.0118
0.08,1.6056e-05,0.0112
0.09,1.8552e-05,0.0104
0.1,2.047e-05,0.0099
0.11,2.2022e-05,0.0095
0.12,2.3708e-05,0.0092
0.13,2.4074e-05,0.0091
0.14,2.4102e-05,0.0091
0.15,2.3874e-05,0.0092
0.16,2.4398e-05,0.0091
0.17,2.4996e-05,0.0089
0.18,2.4398e-05,0.0091
0.19,2.192e-05,0.0096
0.2,2.0668e-05,0.0098
0.21,1.9866e-05,0.01
0.22,1.9328e-05,0.0102
0.23,1.9308e-05,0.0102
0.24,1.8664e-05,0.0104
0.25,1.8812e-05,0.0103
0.26,1.8262e-05,0.0105
0.27,1.7722e-05,0.0106
0.28,1.7622e-05,0.0107
0.29,1.7944e-05,0.0106
0.3,1.7954e-05,0.0106
0.31,1.6834e-05,0.0109
0.32,1.4804e-05,0.0116
0.33,1.2796e-05,0.0125
0.34,1.222e-05,0.0128
0.35,1.186e-05,0.013
0.36,1.0584e-05,0.0137
0.37,1.0134e-05,0.014
0.38,9.876e-06,0.0142
0.39,9.542e-06,0.0145
0.4,9.342e-06,0.0146
0.41,8.938e-06,0.015
0.42,8.556e-06,0.0153
0.43,8.444e-06,0.0154
0.44,8.202e-06,0.0156
0.45,7.968e-06,0.0158
0.46,7.71e-06,0.0161
0.47,7.702e-06,0.0161
0.48,8.122e-06,0.0157
0.49,9.546e-06,0.0145
0.5,1.3568e-05,0.0121
0.51,1.7058e-05,0.0108
0.52,1.7406e-05,0.0107
0.53,1.361e-05,0.0121
0.54,9.27e-06,0.0147
0.55,6.994e-06,0.0169
0.56,6.01e-06,0.0182
0.57,5.858e-06,0.0185
0.58,5.572e-06,0.0189
0.59,5.394e-06,0.0193
0.6,5.396e-06,0.0193
0.61,5.162e-06,0.0197
0.62,5.202e-06,0.0196
0.63,5.198e-06,0.0196
0.64,5.15e-06,0.0197
0.65,4.804e-06,0.0204
0.66,4.802e-06,0.0204
0.67,4.574e-06,0.0209
0.68,4.622e-06,0.0208
0.69,4.426e-06,0.0213
0.7,4.466e-06,0.0212
0.71,4.374e-06,0.0214
0.72,4.436e-06,0.0212
0.73,4.906e-06,0.0202
0.74,5.576e-06,0.0189
0.75,6.474e-06,0.0176
0.76,7.41e-06,0.0164
0.77,7.746e-06,0.0161
0.78,7.07e-06,0.0168
0.79,6.118e-06,0.0181
0.8,5.016e-06,0.02
0.81,4.294e-06,0.0216
0.82,4.218e-06,0.0218
0.83,4.37e-06,0.0214
0.84,4.846e-06,0.0203
0.85,4.864e-06,0.0203
