Energy_MeV,F8_Response,Relative_Error
0.0000,7.07948000E-04,0.0017
0.0100,5.91552000E-04,0.0018
0.0200,1.25214000E-04,0.004
0.0300,1.38600000E-05,0.012
0.0400,1.06340000E-05,0.0137
0.0500,1.11220000E-05,0.0134
0.0600,1.18700000E-05,0.013
0.0700,1.28840000E-05,0.0125
0.0800,1.52920000E-05,0.0114
0.0900,1.79660000E-05,0.0106
0.1000,1.98420000E-05,0.01
0.1100,2.18960000E-05,0.0096
0.1200,2.27220000E-05,0.0094
0.1300,2.33860000E-05,0.0092
0.1400,2.33040000E-05,0.0093
0.1500,2.32280000E-05,0.0093
0.1600,2.38040000E-05,0.0092
0.1700,2.33820000E-05,0.0092
0.1800,2.31740000E-05,0.0093
0.1900,2.09780000E-05,0.0098
0.2000,1.94000000E-05,0.0102
0.2100,1.91600000E-05,0.0102
0.2200,1.85140000E-05,0.0104
0.2300,1.81540000E-05,0.0105
0.2400,1.75680000E-05,0.0107
0.2500,1.66520000E-05,0.011
0.2600,1.65820000E-05,0.011
0.2700,1.65960000E-05,0.011
0.2800,1.58260000E-05,0.0112
0.2900,1.59860000E-05,0.0112
0.3000,1.58120000E-05,0.0112
0.3100,1.44960000E-05,0.0117
0.3200,1.33280000E-05,0.0122
0.3300,1.19420000E-05,0.0129
0.3400,1.13520000E-05,0.0133
0.3500,1.05880000E-05,0.0137
0.3600,9.80000000E-06,0.0143
0.3700,9.34800000E-06,0.0146
0.3800,8.96600000E-06,0.0149
0.3900,8.74800000E-06,0.0151
0.4000,8.45200000E-06,0.0154
0.4100,8.17800000E-06,0.0156
0.4200,7.93400000E-06,0.0159
0.4300,7.80800000E-06,0.016
0.4400,7.46400000E-06,0.0164
0.4500,7.04600000E-06,0.0168
0.4600,7.19800000E-06,0.0167
0.4700,6.80000000E-06,0.0171
0.4800,7.21200000E-06,0.0167
0.4900,9.15000000E-06,0.0148
0.5000,1.19680000E-05,0.0129
0.5100,1.53000000E-05,0.0114
0.5200,1.53180000E-05,0.0114
0.5300,1.20060000E-05,0.0129
0.5400,8.32200000E-06,0.0155
0.5500,6.05800000E-06,0.0182
0.5600,5.20800000E-06,0.0196
0.5700,4.95000000E-06,0.0201
0.5800,4.85600000E-06,0.0203
0.5900,4.64400000E-06,0.0208
0.6000,4.57000000E-06,0.0209
0.6100,4.51000000E-06,0.0211
0.6200,4.45400000E-06,0.0212
0.6300,4.40600000E-06,0.0213
0.6400,4.43400000E-06,0.0212
0.6500,4.18000000E-06,0.0219
0.6600,4.14200000E-06,0.022
