Case,NPS,F8_6.13,RE_6.13,ROI_Sum,ROI_Max_Energy,ROI_Max_F8,ROI_Max_RE,Delta_ROI_percent
Disk_D10,1000000000,1.46200000E-06,0.0262,1.12290000E-05,6.13,1.46200000E-06,0.0262,0.83512931
Point,1000000000,1.48200000E-06,0.026,1.11360000E-05,6.13,1.48200000E-06,0.026,0.83512931
