Case,NPS,F8_6.13,RE_6.13,ROI_Sum,ROI_Max_Energy,ROI_Max_F8,ROI_Max_RE,Delta_ROI_percent
Disk_D10,300000000,1.41667000E-06,0.0485,1.12300000E-05,6.13,1.41667000E-06,0.0485,-0.17766243
Point,300000000,1.56333000E-06,0.0462,1.12499870E-05,6.13,1.56333000E-06,0.0462,-0.17766243
