Case,NPS,F8_6.13,RE_6.13,ROI_Sum,ROI_Max_Energy,ROI_Max_F8,ROI_Max_RE,Delta_ROI_percent
Disk_D10,100000000,1.55000000E-06,0.0803,1.17800000E-05,6.13,1.55000000E-06,0.0803,7.3837739
Point,100000000,1.48000000E-06,0.0822,1.09700000E-05,6.12,1.51000000E-06,0.0814,7.3837739
