Case,NPS,F8_6.13,RE_6.13,ROI_Sum,ROI_Max_Energy,ROI_Max_F8,ROI_Max_RE,Delta_ROI_percent
Disk_D10,700000000,1.45286000E-06,0.0314,1.12100060E-05,6.13,1.45286000E-06,0.0314,-0.17807652
Point,700000000,1.51714000E-06,0.0307,1.12300040E-05,6.13,1.51714000E-06,0.0307,-0.17807652
