Case,NPS,F8_6.13,RE_6.13,ROI_Sum,ROI_Max_Energy,ROI_Max_F8,ROI_Max_RE,Delta_ROI_percent
Disk_D10,500000000,1.46200000E-06,0.037,1.12580000E-05,6.13,1.46200000E-06,0.037,-0.017761989
Point,500000000,1.53000000E-06,0.0362,1.12600000E-05,6.13,1.53000000E-06,0.0362,-0.017761989
