NPS,Left_5.95_6.02,ROI_6.03_6.23,Right_6.24_6.31
100000000,4.11000000E-06,1.87300000E-05,3.46000000E-06
300000000,4.25000000E-06,1.82899960E-05,3.53000000E-06
500000000,4.27000000E-06,1.83600000E-05,3.40400000E-06
700000000,4.37428500E-06,1.83414380E-05,3.37714300E-06
1000000000,4.35400000E-06,1.82610000E-05,3.46800000E-06
