Energy_MeV,F8 脉冲高度响应,Relative_Error
1.92,2.68e-06,0.0353
1.93,2.54667e-06,0.0362
1.94,2.49333e-06,0.0366
1.95,2.58667e-06,0.0359
1.96,2.6e-06,0.0358
1.97,2.36667e-06,0.0375
1.98,2.59667e-06,0.0358
1.99,2.52333e-06,0.0363
2,2.49667e-06,0.0365
2.01,2.31333e-06,0.038
2.02,2.4e-06,0.0373
2.03,2.47e-06,0.0367
2.04,2.28667e-06,0.0382
2.05,2.26667e-06,0.0383
2.06,2.14e-06,0.0395
2.07,2.19333e-06,0.039
2.08,1.88333e-06,0.0421
2.09,2.04667e-06,0.0404
2.1,2.18667e-06,0.039
2.11,2.10667e-06,0.0398
2.12,2.11e-06,0.0397
2.13,2.09667e-06,0.0399
2.14,2.08333e-06,0.04
2.15,1.99e-06,0.0409
2.16,2.14333e-06,0.0394
2.17,2.38333e-06,0.0374
2.18,2.5e-06,0.0365
2.19,2.86333e-06,0.0341
2.2,3.32333e-06,0.0317
2.21,3.74333e-06,0.0298
2.22,3.82667e-06,0.0295
2.23,3.74e-06,0.0299
2.24,3.37333e-06,0.0314
2.25,2.83e-06,0.0343
2.26,2.52667e-06,0.0363
2.27,2.47e-06,0.0367
2.28,2.53667e-06,0.0362
2.29,2.61333e-06,0.0357
2.3,2.43667e-06,0.037
2.31,2.55667e-06,0.0361
2.32,2.22333e-06,0.0387
2.33,2.25667e-06,0.0384
2.34,1.93667e-06,0.0415
2.35,1.92e-06,0.0417
2.36,1.91333e-06,0.0417
2.37,2.07e-06,0.0401
2.38,2.05e-06,0.0403
2.39,2.06e-06,0.0402
2.4,2.05e-06,0.0403
2.41,2.02e-06,0.0406
2.42,1.99e-06,0.0409
2.43,1.94333e-06,0.0414
2.44,1.98333e-06,0.041
2.45,2.10667e-06,0.0398
2.46,2e-06,0.0408
2.47,2.06e-06,0.0402
2.48,2.23333e-06,0.0386
2.49,2.20333e-06,0.0389
2.5,2.33e-06,0.0378
2.51,2.30333e-06,0.038
2.52,2.09e-06,0.0399
2.53,1.99667e-06,0.0409
2.54,2.09667e-06,0.0399
2.55,1.95e-06,0.0413
2.56,2e-06,0.0408
2.57,1.83333e-06,0.0426
2.58,2.00667e-06,0.0408
2.59,1.84e-06,0.0426
2.6,1.95e-06,0.0413
2.61,2.07333e-06,0.0401
2.62,2.05e-06,0.0403
2.63,1.95e-06,0.0413
2.64,1.90333e-06,0.0418
2.65,2.19333e-06,0.039
2.66,2.17667e-06,0.0391
2.67,2.30667e-06,0.038
2.68,2.31e-06,0.038
2.69,2.25333e-06,0.0385
2.7,2.38e-06,0.0374
2.71,2.42e-06,0.0371
2.72,2.61667e-06,0.0357
2.73,2.83e-06,0.0343
2.74,2.99e-06,0.0334
2.75,2.62e-06,0.0357
2.76,2.82e-06,0.0344
2.77,2.4e-06,0.0373
2.78,2.42e-06,0.0371
2.79,2.17333e-06,0.0392
2.8,2.18e-06,0.0391
2.81,2.43e-06,0.037
2.82,2.29333e-06,0.0381
2.83,2.5e-06,0.0365
2.84,2.18667e-06,0.039
2.85,2.01e-06,0.0407
2.86,2.18e-06,0.0391
2.87,2.10333e-06,0.0398
2.88,2.07e-06,0.0401
2.89,1.91e-06,0.0418
2.9,2.06e-06,0.0402
2.91,2.13667e-06,0.0395
2.92,1.99333e-06,0.0409
2.93,1.94667e-06,0.0414
2.94,1.99667e-06,0.0409
2.95,1.97667e-06,0.0411
2.96,2.21667e-06,0.0388
2.97,1.99333e-06,0.0409
2.98,2.10667e-06,0.0398
2.99,2.34667e-06,0.0377
3,2.45e-06,0.0369
3.01,2.34667e-06,0.0377
3.02,2.12667e-06,0.0396
3.03,2.43667e-06,0.037
3.04,2.11333e-06,0.0397
3.05,1.80333e-06,0.043
3.06,1.81e-06,0.0429
3.07,1.97e-06,0.0411
3.08,1.70333e-06,0.0442
3.09,1.85e-06,0.0424
3.1,1.78333e-06,0.0432
3.11,1.80667e-06,0.043
3.12,1.96e-06,0.0412
3.13,2.09667e-06,0.0399
3.14,1.96333e-06,0.0412
3.15,2.15667e-06,0.0393
3.16,2.23333e-06,0.0386
3.17,2.39333e-06,0.0373
3.18,2.28e-06,0.0382
3.19,2.57333e-06,0.036
3.2,2.73667e-06,0.0349
3.21,2.61333e-06,0.0357
3.22,2.67667e-06,0.0353
3.23,2.54667e-06,0.0362
3.24,2.57667e-06,0.036
3.25,2.46e-06,0.0368
3.26,2.23333e-06,0.0386
3.27,2.29e-06,0.0382
3.28,2.14e-06,0.0395
3.29,2.02e-06,0.0406
3.3,1.82667e-06,0.0427
3.31,1.93333e-06,0.0415
3.32,1.82333e-06,0.0428
3.33,2.01333e-06,0.0407
3.34,1.97667e-06,0.0411
3.35,2.11e-06,0.0397
3.36,2.01e-06,0.0407
3.37,2.03e-06,0.0405
3.38,2.12667e-06,0.0396
3.39,2.22333e-06,0.0387
3.4,2.30333e-06,0.038
3.41,2.19e-06,0.039
