Energy_MeV,F8_Response,Relative_Error
0.0000,7.61364000E-04,0.0016
0.0100,6.35242000E-04,0.0018
0.0200,1.35518000E-04,0.0038
0.0300,1.58060000E-05,0.0112
0.0400,1.20660000E-05,0.0129
0.0500,1.28220000E-05,0.0125
0.0600,1.43420000E-05,0.0118
0.0700,1.61700000E-05,0.0111
0.0800,1.97680000E-05,0.0101
0.0900,2.33440000E-05,0.0093
0.1000,2.61800000E-05,0.0087
0.1100,2.87540000E-05,0.0083
0.1200,3.03480000E-05,0.0081
0.1300,3.14860000E-05,0.008
0.1400,3.07780000E-05,0.0081
0.1500,3.02600000E-05,0.0081
0.1600,3.03520000E-05,0.0081
0.1700,3.02280000E-05,0.0081
0.1800,2.87920000E-05,0.0083
0.1900,2.71400000E-05,0.0086
0.2000,2.53960000E-05,0.0089
0.2100,2.43700000E-05,0.0091
0.2200,2.36040000E-05,0.0092
0.2300,2.27820000E-05,0.0094
0.2400,2.20900000E-05,0.0095
0.2500,2.11400000E-05,0.0097
0.2600,2.05660000E-05,0.0099
0.2700,2.01840000E-05,0.01
0.2800,1.94300000E-05,0.0101
0.2900,1.94980000E-05,0.0101
0.3000,1.87280000E-05,0.0103
0.3100,1.77320000E-05,0.0106
0.3200,1.60180000E-05,0.0112
0.3300,1.48800000E-05,0.0116
0.3400,1.38900000E-05,0.012
0.3500,1.30680000E-05,0.0124
0.3600,1.22780000E-05,0.0128
0.3700,1.17200000E-05,0.0131
0.3800,1.09540000E-05,0.0135
0.3900,1.05720000E-05,0.0138
0.4000,1.02640000E-05,0.014
0.4100,9.89000000E-06,0.0142
0.4200,9.59000000E-06,0.0144
0.4300,9.63400000E-06,0.0144
0.4400,9.02600000E-06,0.0149
0.4500,8.70800000E-06,0.0152
0.4600,8.66000000E-06,0.0152
0.4700,8.40200000E-06,0.0154
0.4800,8.78400000E-06,0.0151
0.4900,1.06520000E-05,0.0137
0.5000,1.42180000E-05,0.0119
0.5100,1.79420000E-05,0.0106
0.5200,1.78960000E-05,0.0106
0.5300,1.40360000E-05,0.0119
0.5400,9.46000000E-06,0.0145
0.5500,7.03400000E-06,0.0169
0.5600,6.07800000E-06,0.0181
0.5700,5.69000000E-06,0.0187
0.5800,5.56600000E-06,0.019
0.5900,5.56800000E-06,0.019
0.6000,5.39400000E-06,0.0193
0.6100,5.21400000E-06,0.0196
0.6200,4.99600000E-06,0.02
0.6300,5.18000000E-06,0.0196
0.6400,5.00400000E-06,0.02
0.6500,4.82800000E-06,0.0204
0.6600,4.76600000E-06,0.0205
0.6700,4.57400000E-06,0.0209
0.6800,4.81400000E-06,0.0204
0.6900,4.42600000E-06,0.0213
0.7000,4.35800000E-06,0.0214
0.7100,4.30000000E-06,0.0216
0.7200,4.41600000E-06,0.0213
0.7300,4.63600000E-06,0.0208
0.7400,5.34200000E-06,0.0193
0.7500,5.88400000E-06,0.0184
0.7600,6.70000000E-06,0.0173
0.7700,6.86600000E-06,0.0171
0.7800,6.55400000E-06,0.0175
0.7900,5.42000000E-06,0.0192
0.8000,4.55600000E-06,0.021
0.8100,3.92000000E-06,0.0226
0.8200,3.91600000E-06,0.0226
0.8300,3.93400000E-06,0.0225
0.8400,4.07800000E-06,0.0221
0.8500,4.45200000E-06,0.0212
0.8600,4.20800000E-06,0.0218
0.8700,4.03400000E-06,0.0223
0.8800,3.88200000E-06,0.0227
0.8900,4.02000000E-06,0.0223
0.9000,3.79600000E-06,0.023
0.9100,3.46400000E-06,0.024
0.9200,3.30600000E-06,0.0246
0.9300,3.15600000E-06,0.0252
0.9400,3.22400000E-06,0.0249
0.9500,3.23200000E-06,0.0249
0.9600,2.99800000E-06,0.0258
0.9700,3.27600000E-06,0.0247
0.9800,3.24400000E-06,0.0248
0.9900,3.46800000E-06,0.024
1.0000,4.04400000E-06,0.0222
1.0100,4.40200000E-06,0.0213
1.0200,4.47400000E-06,0.0211
1.0300,3.95200000E-06,0.0225
1.0400,3.53400000E-06,0.0238
1.0500,3.04200000E-06,0.0256
1.0600,2.76400000E-06,0.0269
1.0700,2.57000000E-06,0.0279
1.0800,2.75400000E-06,0.0269
1.0900,2.66200000E-06,0.0274
1.1000,2.76200000E-06,0.0269
1.1100,2.77400000E-06,0.0269
1.1200,2.90800000E-06,0.0262
1.1300,2.85800000E-06,0.0265
1.1400,3.10400000E-06,0.0254
1.1500,3.20600000E-06,0.025
1.1600,3.37600000E-06,0.0243
1.1700,3.24800000E-06,0.0248
1.1800,3.24400000E-06,0.0248
1.1900,2.97600000E-06,0.0259
1.2000,2.72400000E-06,0.0271
1.2100,2.67000000E-06,0.0274
1.2200,2.56000000E-06,0.028
1.2300,2.53800000E-06,0.0281
1.2400,2.64000000E-06,0.0275
1.2500,2.53400000E-06,0.0281
1.2600,2.51800000E-06,0.0282
1.2700,2.56200000E-06,0.0279
1.2800,2.65000000E-06,0.0275
1.2900,2.56400000E-06,0.0279
1.3000,2.60000000E-06,0.0277
1.3100,2.62000000E-06,0.0276
1.3200,2.62800000E-06,0.0276
1.3300,2.67400000E-06,0.0273
1.3400,2.67000000E-06,0.0274
1.3500,2.72800000E-06,0.0271
1.3600,2.87200000E-06,0.0264
1.3700,2.83600000E-06,0.0266
1.3800,2.82200000E-06,0.0266
1.3900,2.82200000E-06,0.0266
1.4000,2.77600000E-06,0.0268
1.4100,2.58400000E-06,0.0278
1.4200,2.66800000E-06,0.0274
1.4300,2.55400000E-06,0.028
1.4400,2.46400000E-06,0.0285
1.4500,2.45200000E-06,0.0286
1.4600,2.33600000E-06,0.0293
1.4700,2.45000000E-06,0.0286
1.4800,2.33600000E-06,0.0293
1.4900,2.29800000E-06,0.0295
1.5000,2.31800000E-06,0.0294
1.5100,2.23600000E-06,0.0299
1.5200,2.34800000E-06,0.0292
1.5300,2.26000000E-06,0.0297
1.5400,2.26600000E-06,0.0297
1.5500,2.34800000E-06,0.0292
1.5600,2.33200000E-06,0.0293
1.5700,2.40000000E-06,0.0289
1.5800,2.53800000E-06,0.0281
1.5900,2.70200000E-06,0.0272
1.6000,3.03600000E-06,0.0257
1.6100,3.11400000E-06,0.0253
1.6200,3.12600000E-06,0.0253
1.6300,3.08200000E-06,0.0255
1.6400,2.79800000E-06,0.0267
1.6500,2.45400000E-06,0.0285
1.6600,2.34800000E-06,0.0292
1.6700,2.37400000E-06,0.029
1.6800,2.40600000E-06,0.0288
1.6900,2.43800000E-06,0.0286
1.7000,2.56800000E-06,0.0279
1.7100,2.59800000E-06,0.0277
1.7200,2.63800000E-06,0.0275
1.7300,2.51600000E-06,0.0282
1.7400,2.52800000E-06,0.0281
1.7500,2.28400000E-06,0.0296
1.7600,2.21800000E-06,0.03
1.7700,2.25600000E-06,0.0298
1.7800,2.56400000E-06,0.0279
1.7900,2.59400000E-06,0.0278
1.8000,2.77200000E-06,0.0269
1.8100,2.92000000E-06,0.0262
1.8200,2.81600000E-06,0.0267
1.8300,2.54200000E-06,0.028
1.8400,2.38600000E-06,0.029
1.8500,2.13000000E-06,0.0306
1.8600,2.11800000E-06,0.0307
1.8700,2.04000000E-06,0.0313
1.8800,2.16800000E-06,0.0304
1.8900,2.15600000E-06,0.0305
1.9000,2.13600000E-06,0.0306
1.9100,2.20400000E-06,0.0301
1.9200,2.27200000E-06,0.0297
1.9300,2.30000000E-06,0.0295
1.9400,2.16200000E-06,0.0304
1.9500,2.16200000E-06,0.0304
1.9600,2.20600000E-06,0.0301
1.9700,2.31200000E-06,0.0294
1.9800,2.20800000E-06,0.0301
1.9900,2.20600000E-06,0.0301
2.0000,2.11600000E-06,0.0307
2.0100,2.14200000E-06,0.0306
2.0200,2.16600000E-06,0.0304
2.0300,1.97000000E-06,0.0319
2.0400,1.97800000E-06,0.0318
2.0500,1.95200000E-06,0.032
2.0600,1.88400000E-06,0.0326
2.0700,1.98400000E-06,0.0318
2.0800,1.78800000E-06,0.0334
2.0900,1.86600000E-06,0.0327
2.1000,1.89400000E-06,0.0325
2.1100,1.95800000E-06,0.032
2.1200,1.82400000E-06,0.0331
2.1300,1.77200000E-06,0.0336
2.1400,1.79200000E-06,0.0334
2.1500,1.86600000E-06,0.0327
2.1600,1.94800000E-06,0.032
2.1700,2.08400000E-06,0.031
2.1800,2.11400000E-06,0.0308
2.1900,2.36400000E-06,0.0291
2.2000,2.80000000E-06,0.0267
2.2100,2.99800000E-06,0.0258
2.2200,3.02400000E-06,0.0257
2.2300,2.87400000E-06,0.0264
2.2400,2.70200000E-06,0.0272
2.2500,2.34200000E-06,0.0292
2.2600,2.18800000E-06,0.0302
2.2700,2.06000000E-06,0.0312
2.2800,2.17200000E-06,0.0303
2.2900,2.13200000E-06,0.0306
2.3000,2.20800000E-06,0.0301
2.3100,2.06000000E-06,0.0312
2.3200,1.91800000E-06,0.0323
2.3300,1.91200000E-06,0.0323
2.3400,1.84600000E-06,0.0329
2.3500,1.69600000E-06,0.0343
2.3600,1.74400000E-06,0.0339
2.3700,1.72200000E-06,0.0341
2.3800,1.75600000E-06,0.0337
2.3900,1.70800000E-06,0.0342
2.4000,1.68800000E-06,0.0344
2.4100,1.73800000E-06,0.0339
2.4200,1.69200000E-06,0.0344
2.4300,1.59800000E-06,0.0354
2.4400,1.60800000E-06,0.0353
2.4500,1.74400000E-06,0.0339
2.4600,1.69200000E-06,0.0344
2.4700,1.86600000E-06,0.0327
2.4800,1.82600000E-06,0.0331
2.4900,1.80200000E-06,0.0333
