Energy_MeV,F8_Response,Relative_Error
0.0000,5.19672000E-04,0.002
0.0100,4.32078000E-04,0.0022
0.0200,9.14500000E-05,0.0047
0.0300,9.49400000E-06,0.0145
0.0400,7.49400000E-06,0.0163
0.0500,7.80600000E-06,0.016
0.0600,8.01800000E-06,0.0158
0.0700,8.80200000E-06,0.0151
0.0800,1.01980000E-05,0.014
0.0900,1.13620000E-05,0.0133
0.1000,1.28540000E-05,0.0125
0.1100,1.38260000E-05,0.012
0.1200,1.48480000E-05,0.0116
0.1300,1.49220000E-05,0.0116
0.1400,1.50080000E-05,0.0115
0.1500,1.49220000E-05,0.0116
0.1600,1.53140000E-05,0.0114
0.1700,1.53540000E-05,0.0114
0.1800,1.52720000E-05,0.0114
0.1900,1.38360000E-05,0.012
0.2000,1.27320000E-05,0.0125
0.2100,1.23340000E-05,0.0127
0.2200,1.21360000E-05,0.0128
0.2300,1.18540000E-05,0.013
0.2400,1.19360000E-05,0.0129
0.2500,1.13540000E-05,0.0133
0.2600,1.11360000E-05,0.0134
0.2700,1.11200000E-05,0.0134
0.2800,1.12480000E-05,0.0133
0.2900,1.11160000E-05,0.0134
0.3000,1.10060000E-05,0.0135
0.3100,1.02240000E-05,0.014
0.3200,9.20000000E-06,0.0147
0.3300,8.11200000E-06,0.0157
0.3400,7.75000000E-06,0.0161
0.3500,7.15400000E-06,0.0167
0.3600,6.77400000E-06,0.0172
0.3700,6.37800000E-06,0.0177
0.3800,6.11400000E-06,0.0181
0.3900,5.79600000E-06,0.0186
0.4000,5.96800000E-06,0.0183
0.4100,5.61000000E-06,0.0189
0.4200,5.49600000E-06,0.0191
0.4300,5.34400000E-06,0.0193
0.4400,5.06000000E-06,0.0199
0.4500,4.95600000E-06,0.0201
0.4600,4.86800000E-06,0.0203
0.4700,4.82400000E-06,0.0204
0.4800,5.08600000E-06,0.0198
0.4900,6.38600000E-06,0.0177
0.5000,8.43600000E-06,0.0154
0.5100,1.08080000E-05,0.0136
