Energy_MeV,F8 脉冲高度响应,Relative_Error
6.09,9.86667e-07,0.0581
6.1,1.14333e-06,0.054
6.11,1.37333e-06,0.0493
6.12,1.35333e-06,0.0496
6.13,1.56333e-06,0.0462
6.14,1.31333e-06,0.0504
6.15,1.31667e-06,0.0503
6.16,1.14667e-06,0.0539
6.17,1.05333e-06,0.0563
