Energy_MeV,F8 脉冲高度响应,Relative_Error
0,0.000865937,0.002
0.01,0.00071947,0.0022
0.02,0.000152097,0.0047
0.03,1.59667e-05,0.0144
0.04,1.151e-05,0.017
0.05,1.26233e-05,0.0162
0.06,1.28433e-05,0.0161
0.07,1.44067e-05,0.0152
0.08,1.58767e-05,0.0145
0.09,1.849e-05,0.0134
0.1,2.04967e-05,0.0128
0.11,2.22867e-05,0.0122
0.12,2.37467e-05,0.0118
0.13,2.39767e-05,0.0118
0.14,2.41333e-05,0.0118
0.15,2.398e-05,0.0118
0.16,2.44867e-05,0.0117
0.17,2.53267e-05,0.0115
0.18,2.42e-05,0.0117
0.19,2.20433e-05,0.0123
0.2,2.06e-05,0.0127
0.21,1.97467e-05,0.013
0.22,1.91467e-05,0.0132
0.23,1.918e-05,0.0132
0.24,1.885e-05,0.0133
0.25,1.86567e-05,0.0134
0.26,1.81833e-05,0.0135
0.27,1.75867e-05,0.0138
0.28,1.76133e-05,0.0138
0.29,1.797e-05,0.0136
0.3,1.77433e-05,0.0137
0.31,1.664e-05,0.0142
0.32,1.46767e-05,0.0151
0.33,1.26167e-05,0.0163
0.34,1.19767e-05,0.0167
0.35,1.17567e-05,0.0168
0.36,1.054e-05,0.0178
0.37,1.01367e-05,0.0181
0.38,1.00833e-05,0.0182
0.39,9.43e-06,0.0188
0.4,9.37667e-06,0.0189
0.41,8.90333e-06,0.0193
0.42,8.39667e-06,0.0199
0.43,8.35333e-06,0.02
0.44,8.26667e-06,0.0201
0.45,8.06333e-06,0.0203
0.46,7.67e-06,0.0208
0.47,7.74667e-06,0.0207
0.48,8.21e-06,0.0201
0.49,9.61667e-06,0.0186
0.5,1.35933e-05,0.0157
0.51,1.68967e-05,0.014
0.52,1.70967e-05,0.014
0.53,1.356e-05,0.0157
0.54,9.36333e-06,0.0189
0.55,7.10333e-06,0.0217
0.56,6.03e-06,0.0235
0.57,5.91333e-06,0.0237
0.58,5.62333e-06,0.0243
0.59,5.55333e-06,0.0245
0.6,5.34e-06,0.025
0.61,5.04e-06,0.0257
0.62,5.36333e-06,0.0249
0.63,5.22e-06,0.0253
0.64,5.13333e-06,0.0255
0.65,4.77e-06,0.0264
0.66,4.72333e-06,0.0266
0.67,4.7e-06,0.0266
0.68,4.61e-06,0.0269
0.69,4.28333e-06,0.0279
0.7,4.52e-06,0.0272
0.71,4.50667e-06,0.0272
0.72,4.38333e-06,0.0276
0.73,4.85e-06,0.0262
0.74,5.51667e-06,0.0246
0.75,6.42667e-06,0.0228
0.76,7.32e-06,0.0213
0.77,7.78333e-06,0.0207
0.78,7.23667e-06,0.0215
0.79,6.04333e-06,0.0235
0.8,5.08e-06,0.0256
0.81,4.29333e-06,0.0279
0.82,4.24333e-06,0.028
0.83,4.44667e-06,0.0274
0.84,4.75333e-06,0.0265
0.85,4.88e-06,0.0261
0.86,4.58333e-06,0.027
0.87,4.34333e-06,0.0277
0.88,4.48e-06,0.0273
0.89,4.28333e-06,0.0279
0.9,4.02e-06,0.0288
0.91,3.76333e-06,0.0298
0.92,3.40333e-06,0.0313
0.93,3.42333e-06,0.0312
0.94,3.37667e-06,0.0314
0.95,3.45333e-06,0.0311
0.96,3.46667e-06,0.031
0.97,3.42333e-06,0.0312
0.98,3.58667e-06,0.0305
0.99,4.26e-06,0.028
1,4.43333e-06,0.0274
1.01,5.46e-06,0.0247
1.02,5.31e-06,0.0251
1.03,4.64333e-06,0.0268
1.04,4.13333e-06,0.0284
1.05,3.33667e-06,0.0316
1.06,3.02667e-06,0.0332
1.07,2.93667e-06,0.0337
1.08,2.76e-06,0.0348
1.09,3.01333e-06,0.0333
1.1,2.93333e-06,0.0337
1.11,2.98e-06,0.0334
1.12,2.84667e-06,0.0342
1.13,3.25667e-06,0.032
1.14,3.45667e-06,0.0311
1.15,3.65e-06,0.0302
1.16,3.83667e-06,0.0295
1.17,3.51667e-06,0.0308
1.18,3.39e-06,0.0314
1.19,3.23e-06,0.0321
1.2,3.02333e-06,0.0332
1.21,2.83e-06,0.0343
1.22,2.70667e-06,0.0351
1.23,2.95667e-06,0.0336
1.24,2.81e-06,0.0344
1.25,2.87333e-06,0.0341
1.26,2.86e-06,0.0341
1.27,2.54333e-06,0.0362
1.28,2.85e-06,0.0342
1.29,2.82e-06,0.0344
1.3,2.80333e-06,0.0345
1.31,2.84333e-06,0.0342
1.32,3.07667e-06,0.0329
1.33,3.00667e-06,0.0333
1.34,3.05333e-06,0.033
1.35,3.13667e-06,0.0326
1.36,3.31667e-06,0.0317
