Energy_MeV,F8_Response,Relative_Error
0.0000,9.00908000E-04,0.0015
0.0100,7.51334000E-04,0.0016
0.0200,1.59066000E-04,0.0035
0.0300,1.66680000E-05,0.011
0.0400,1.27260000E-05,0.0125
0.0500,1.32940000E-05,0.0123
0.0600,1.41980000E-05,0.0119
0.0700,1.51060000E-05,0.0115
0.0800,1.73460000E-05,0.0107
0.0900,2.01760000E-05,0.01
0.1000,2.25700000E-05,0.0094
0.1100,2.43980000E-05,0.0091
0.1200,2.61820000E-05,0.0087
0.1300,2.62680000E-05,0.0087
0.1400,2.67220000E-05,0.0087
0.1500,2.59700000E-05,0.0088
0.1600,2.68040000E-05,0.0086
0.1700,2.70180000E-05,0.0086
0.1800,2.60740000E-05,0.0088
0.1900,2.44920000E-05,0.009
0.2000,2.29220000E-05,0.0093
0.2100,2.18840000E-05,0.0096
0.2200,2.11580000E-05,0.0097
0.2300,2.11520000E-05,0.0097
0.2400,2.05660000E-05,0.0099
0.2500,1.99380000E-05,0.01
0.2600,1.93480000E-05,0.0102
0.2700,1.95360000E-05,0.0101
0.2800,1.90940000E-05,0.0102
0.2900,1.92780000E-05,0.0102
0.3000,1.87620000E-05,0.0103
0.3100,1.76580000E-05,0.0106
0.3200,1.56040000E-05,0.0113
0.3300,1.37320000E-05,0.0121
0.3400,1.30540000E-05,0.0124
0.3500,1.23200000E-05,0.0127
0.3600,1.16120000E-05,0.0131
0.3700,1.08740000E-05,0.0136
0.3800,1.03700000E-05,0.0139
0.3900,1.02400000E-05,0.014
0.4000,1.00080000E-05,0.0141
0.4100,9.54800000E-06,0.0145
0.4200,9.10400000E-06,0.0148
0.4300,9.09600000E-06,0.0148
0.4400,8.43400000E-06,0.0154
0.4500,8.26800000E-06,0.0156
0.4600,8.10800000E-06,0.0157
0.4700,8.25000000E-06,0.0156
0.4800,8.68800000E-06,0.0152
0.4900,1.03820000E-05,0.0139
0.5000,1.44320000E-05,0.0118
0.5100,1.83120000E-05,0.0105
0.5200,1.84680000E-05,0.0104
0.5300,1.44140000E-05,0.0118
0.5400,1.00060000E-05,0.0141
0.5500,7.43400000E-06,0.0164
