Energy_MeV,F8_Response,Relative_Error
0.0000,9.03638000E-04,0.0015
0.0100,7.53452000E-04,0.0016
0.0200,1.59580000E-04,0.0035
0.0300,1.67680000E-05,0.0109
0.0400,1.27760000E-05,0.0125
0.0500,1.33260000E-05,0.0123
0.0600,1.42620000E-05,0.0118
0.0700,1.51640000E-05,0.0115
0.0800,1.74860000E-05,0.0107
0.0900,2.02320000E-05,0.0099
0.1000,2.26940000E-05,0.0094
0.1100,2.45220000E-05,0.009
0.1200,2.63320000E-05,0.0087
0.1300,2.65080000E-05,0.0087
0.1400,2.67920000E-05,0.0086
0.1500,2.61360000E-05,0.0087
0.1600,2.69540000E-05,0.0086
0.1700,2.71100000E-05,0.0086
0.1800,2.62240000E-05,0.0087
0.1900,2.45880000E-05,0.009
0.2000,2.31180000E-05,0.0093
0.2100,2.19920000E-05,0.0095
0.2200,2.12840000E-05,0.0097
0.2300,2.12780000E-05,0.0097
0.2400,2.06300000E-05,0.0098
0.2500,2.00280000E-05,0.01
0.2600,1.95180000E-05,0.0101
0.2700,1.95860000E-05,0.0101
0.2800,1.91940000E-05,0.0102
0.2900,1.93440000E-05,0.0102
0.3000,1.87440000E-05,0.0103
0.3100,1.77120000E-05,0.0106
0.3200,1.57100000E-05,0.0113
0.3300,1.37660000E-05,0.0121
0.3400,1.31280000E-05,0.0123
0.3500,1.24220000E-05,0.0127
0.3600,1.16480000E-05,0.0131
0.3700,1.09640000E-05,0.0135
0.3800,1.04300000E-05,0.0138
0.3900,1.02660000E-05,0.014
0.4000,1.00580000E-05,0.0141
0.4100,9.54400000E-06,0.0145
0.4200,9.11200000E-06,0.0148
0.4300,9.12000000E-06,0.0148
0.4400,8.49000000E-06,0.0153
0.4500,8.31400000E-06,0.0155
0.4600,8.11600000E-06,0.0157
0.4700,8.26600000E-06,0.0156
0.4800,8.71400000E-06,0.0151
0.4900,1.04880000E-05,0.0138
0.5000,1.44720000E-05,0.0118
0.5100,1.82880000E-05,0.0105
0.5200,1.85500000E-05,0.0104
0.5300,1.45120000E-05,0.0117
0.5400,1.00180000E-05,0.0141
0.5500,7.49800000E-06,0.0163
0.5600,6.41800000E-06,0.0177
0.5700,5.86000000E-06,0.0185
0.5800,5.97200000E-06,0.0183
0.5900,5.72200000E-06,0.0187
0.6000,5.65000000E-06,0.0188
0.6100,5.42800000E-06,0.0192
0.6200,5.58800000E-06,0.0189
0.6300,5.31000000E-06,0.0194
0.6400,5.28800000E-06,0.0194
0.6500,5.05200000E-06,0.0199
0.6600,5.14800000E-06,0.0197
0.6700,4.90600000E-06,0.0202
0.6800,4.91600000E-06,0.0202
0.6900,4.60600000E-06,0.0208
0.7000,4.65600000E-06,0.0207
0.7100,4.63200000E-06,0.0208
0.7200,4.59200000E-06,0.0209
0.7300,5.14200000E-06,0.0197
0.7400,5.78400000E-06,0.0186
0.7500,7.03600000E-06,0.0169
0.7600,7.80000000E-06,0.016
0.7700,8.29400000E-06,0.0155
0.7800,7.60000000E-06,0.0162
0.7900,6.36400000E-06,0.0177
0.8000,5.23400000E-06,0.0195
0.8100,4.53200000E-06,0.021
0.8200,4.42000000E-06,0.0213
0.8300,4.51400000E-06,0.021
0.8400,4.81200000E-06,0.0204
0.8500,5.14800000E-06,0.0197
0.8600,4.86600000E-06,0.0203
0.8700,4.64200000E-06,0.0208
0.8800,4.36600000E-06,0.0214
0.8900,4.36000000E-06,0.0214
0.9000,4.23200000E-06,0.0217
0.9100,3.99600000E-06,0.0224
0.9200,3.75800000E-06,0.0231
0.9300,3.56200000E-06,0.0237
0.9400,3.48800000E-06,0.0239
0.9500,3.60800000E-06,0.0235
0.9600,3.45800000E-06,0.024
0.9700,3.61200000E-06,0.0235
0.9800,3.81400000E-06,0.0229
0.9900,4.20400000E-06,0.0218
1.0000,4.75200000E-06,0.0205
1.0100,5.45600000E-06,0.0191
1.0200,5.72600000E-06,0.0187
1.0300,5.05400000E-06,0.0199
1.0400,4.30400000E-06,0.0216
1.0500,3.38200000E-06,0.0243
1.0600,3.08400000E-06,0.0255
1.0700,3.07200000E-06,0.0255
1.0800,3.07800000E-06,0.0255
1.0900,3.07800000E-06,0.0255
1.1000,3.12800000E-06,0.0253
1.1100,3.11400000E-06,0.0253
1.1200,3.28800000E-06,0.0247
1.1300,3.46200000E-06,0.024
1.1400,3.57000000E-06,0.0237
1.1500,3.75400000E-06,0.0231
1.1600,3.97800000E-06,0.0224
1.1700,3.78600000E-06,0.023
1.1800,3.61000000E-06,0.0235
1.1900,3.57600000E-06,0.0236
1.2000,3.13400000E-06,0.0253
1.2100,3.01200000E-06,0.0258
1.2200,2.89400000E-06,0.0263
1.2300,2.84800000E-06,0.0265
1.2400,2.77400000E-06,0.0269
1.2500,2.99600000E-06,0.0258
1.2600,2.91600000E-06,0.0262
1.2700,2.79200000E-06,0.0268
1.2800,2.95400000E-06,0.026
1.2900,3.03400000E-06,0.0257
1.3000,3.09400000E-06,0.0254
1.3100,3.05000000E-06,0.0256
1.3200,2.97600000E-06,0.0259
1.3300,3.08800000E-06,0.0254
1.3400,3.12600000E-06,0.0253
1.3500,3.34000000E-06,0.0245
1.3600,3.31000000E-06,0.0246
1.3700,3.34800000E-06,0.0244
1.3800,3.44400000E-06,0.0241
1.3900,3.34400000E-06,0.0245
1.4000,3.20000000E-06,0.025
1.4100,3.20800000E-06,0.025
1.4200,2.93600000E-06,0.0261
1.4300,2.94400000E-06,0.0261
1.4400,2.90000000E-06,0.0263
1.4500,2.86800000E-06,0.0264
1.4600,2.79800000E-06,0.0267
1.4700,2.73400000E-06,0.027
1.4800,2.74000000E-06,0.027
1.4900,2.77000000E-06,0.0269
1.5000,2.89600000E-06,0.0263
1.5100,2.72600000E-06,0.0271
1.5200,2.72000000E-06,0.0271
1.5300,2.71400000E-06,0.0271
1.5400,2.81800000E-06,0.0266
1.5500,2.91000000E-06,0.0262
1.5600,2.82600000E-06,0.0266
1.5700,2.92000000E-06,0.0262
1.5800,2.88600000E-06,0.0263
1.5900,3.17200000E-06,0.0251
1.6000,3.54000000E-06,0.0238
1.6100,3.89400000E-06,0.0227
1.6200,3.75800000E-06,0.0231
1.6300,3.64400000E-06,0.0234
1.6400,3.36400000E-06,0.0244
1.6500,3.06000000E-06,0.0256
1.6600,2.96000000E-06,0.026
1.6700,2.79600000E-06,0.0267
1.6800,2.87000000E-06,0.0264
1.6900,3.06800000E-06,0.0255
1.7000,3.09400000E-06,0.0254
1.7100,3.21800000E-06,0.0249
1.7200,3.30200000E-06,0.0246
1.7300,3.18400000E-06,0.0251
1.7400,3.00800000E-06,0.0258
1.7500,2.75400000E-06,0.0269
1.7600,2.81400000E-06,0.0267
1.7700,2.83400000E-06,0.0266
1.7800,2.97000000E-06,0.0259
1.7900,3.28000000E-06,0.0247
1.8000,3.51800000E-06,0.0238
1.8100,3.68200000E-06,0.0233
1.8200,3.53600000E-06,0.0238
1.8300,3.29400000E-06,0.0246
1.8400,2.93800000E-06,0.0261
1.8500,2.57800000E-06,0.0279
1.8600,2.57600000E-06,0.0279
1.8700,2.50600000E-06,0.0283
1.8800,2.56600000E-06,0.0279
1.8900,2.67400000E-06,0.0273
1.9000,2.55400000E-06,0.028
1.9100,2.67000000E-06,0.0274
1.9200,2.74200000E-06,0.027
1.9300,2.59600000E-06,0.0278
1.9400,2.68800000E-06,0.0273
1.9500,2.76200000E-06,0.0269
1.9600,2.69400000E-06,0.0272
1.9700,2.53000000E-06,0.0281
1.9800,2.70600000E-06,0.0272
1.9900,2.69800000E-06,0.0272
2.0000,2.56600000E-06,0.0279
2.0100,2.44800000E-06,0.0286
2.0200,2.45400000E-06,0.0285
2.0300,2.46800000E-06,0.0285
2.0400,2.35400000E-06,0.0291
2.0500,2.42000000E-06,0.0287
2.0600,2.22600000E-06,0.03
2.0700,2.30400000E-06,0.0295
2.0800,2.12400000E-06,0.0307
2.0900,2.19000000E-06,0.0302
2.1000,2.25200000E-06,0.0298
2.1100,2.15800000E-06,0.0304
2.1200,2.23800000E-06,0.0299
2.1300,2.17400000E-06,0.0303
2.1400,2.12800000E-06,0.0307
2.1500,2.15600000E-06,0.0305
2.1600,2.19400000E-06,0.0302
2.1700,2.43400000E-06,0.0287
2.1800,2.60600000E-06,0.0277
2.1900,3.04000000E-06,0.0256
2.2000,3.56400000E-06,0.0237
2.2100,3.91400000E-06,0.0226
2.2200,4.04400000E-06,0.0222
2.2300,3.80200000E-06,0.0229
2.2400,3.40000000E-06,0.0243
2.2500,2.97000000E-06,0.0259
2.2600,2.79800000E-06,0.0267
2.2700,2.54400000E-06,0.028
2.2800,2.64200000E-06,0.0275
2.2900,2.59400000E-06,0.0278
2.3000,2.56600000E-06,0.0279
2.3100,2.64000000E-06,0.0275
2.3200,2.34800000E-06,0.0292
2.3300,2.21200000E-06,0.0301
2.3400,2.16400000E-06,0.0304
2.3500,2.09200000E-06,0.0309
2.3600,2.05200000E-06,0.0312
2.3700,2.20600000E-06,0.0301
2.3800,2.13800000E-06,0.0306
2.3900,2.13400000E-06,0.0306
2.4000,2.14600000E-06,0.0305
2.4100,2.12600000E-06,0.0307
2.4200,2.06800000E-06,0.0311
2.4300,1.97200000E-06,0.0318
2.4400,2.06200000E-06,0.0311
2.4500,2.07000000E-06,0.0311
2.4600,2.04600000E-06,0.0313
2.4700,2.22000000E-06,0.03
2.4800,2.28000000E-06,0.0296
2.4900,2.20200000E-06,0.0301
2.5000,2.34800000E-06,0.0292
2.5100,2.31400000E-06,0.0294
2.5200,2.25000000E-06,0.0298
2.5300,2.15800000E-06,0.0304
2.5400,2.16000000E-06,0.0304
2.5500,2.07400000E-06,0.0311
2.5600,2.07200000E-06,0.0311
2.5700,1.90800000E-06,0.0324
2.5800,2.00400000E-06,0.0316
2.5900,1.95200000E-06,0.032
2.6000,2.03000000E-06,0.0314
2.6100,2.01800000E-06,0.0315
2.6200,2.07400000E-06,0.0311
2.6300,2.08400000E-06,0.031
2.6400,2.03400000E-06,0.0314
2.6500,2.13600000E-06,0.0306
2.6600,2.26800000E-06,0.0297
2.6700,2.31800000E-06,0.0294
2.6800,2.38200000E-06,0.029
2.6900,2.38000000E-06,0.029
2.7000,2.49800000E-06,0.0283
2.7100,2.58200000E-06,0.0278
2.7200,2.69800000E-06,0.0272
2.7300,2.98800000E-06,0.0259
2.7400,3.14600000E-06,0.0252
2.7500,2.86000000E-06,0.0264
2.7600,2.81200000E-06,0.0267
2.7700,2.48200000E-06,0.0284
2.7800,2.52400000E-06,0.0281
2.7900,2.31800000E-06,0.0294
2.8000,2.36400000E-06,0.0291
2.8100,2.51400000E-06,0.0282
2.8200,2.38400000E-06,0.029
2.8300,2.64000000E-06,0.0275
2.8400,2.27600000E-06,0.0296
2.8500,2.32800000E-06,0.0293
2.8600,2.24000000E-06,0.0299
2.8700,2.11200000E-06,0.0308
2.8800,2.08400000E-06,0.031
2.8900,2.06000000E-06,0.0312
2.9000,2.16200000E-06,0.0304
2.9100,2.18600000E-06,0.0302
2.9200,2.21400000E-06,0.0301
2.9300,2.06400000E-06,0.0311
2.9400,2.20200000E-06,0.0301
2.9500,2.15000000E-06,0.0305
2.9600,2.23200000E-06,0.0299
2.9700,2.20600000E-06,0.0301
2.9800,2.16400000E-06,0.0304
2.9900,2.40600000E-06,0.0288
3.0000,2.52600000E-06,0.0281
3.0100,2.44800000E-06,0.0286
