Energy_MeV,F8_Response_per_source_neutron,Relative_Error
2,2.61e-06,0.0619
2.01,2.35e-06,0.0652
2.02,2.52e-06,0.063
2.03,2.23e-06,0.067
2.04,2.36e-06,0.0651
2.05,2.06e-06,0.0697
2.06,2.23e-06,0.067
2.07,2.24e-06,0.0668
2.08,1.86e-06,0.0733
2.09,2.16e-06,0.068
2.1,2.26e-06,0.0665
2.11,2.23e-06,0.067
2.12,2.14e-06,0.0684
2.13,2.26e-06,0.0665
2.14,2.04e-06,0.07
2.15,1.93e-06,0.072
2.16,2.36e-06,0.0651
2.17,2.1e-06,0.069
2.18,2.34e-06,0.0654
2.19,3.14e-06,0.0564
2.2,3.69e-06,0.0521
2.21,3.88e-06,0.0508
2.22,3.83e-06,0.0511
2.23,3.79e-06,0.0514
2.24,3.35e-06,0.0546
2.25,2.81e-06,0.0597
2.26,2.61e-06,0.0619
2.27,2.56e-06,0.0625
2.28,2.26e-06,0.0665
2.29,2.44e-06,0.064
2.3,2.45e-06,0.0639
2.31,2.64e-06,0.0615
2.32,2.15e-06,0.0682
2.33,2.3e-06,0.0659
2.34,2.06e-06,0.0697
2.35,1.79e-06,0.0747
2.36,1.73e-06,0.076
2.37,1.93e-06,0.072
2.38,2.15e-06,0.0682
2.39,1.9e-06,0.0725
2.4,1.84e-06,0.0737
2.41,2.14e-06,0.0684
2.42,1.84e-06,0.0737
2.43,1.84e-06,0.0737
2.44,1.86e-06,0.0733
2.45,1.93e-06,0.072
2.46,2.19e-06,0.0676
2.47,2.21e-06,0.0673
2.48,2.26e-06,0.0665
2.49,2.12e-06,0.0687
2.5,2.51e-06,0.0631
2.51,1.97e-06,0.0712
2.52,2.08e-06,0.0693
2.53,2.13e-06,0.0685
2.54,1.82e-06,0.0741
2.55,2e-06,0.0707
2.56,1.94e-06,0.0718
2.57,1.96e-06,0.0714
2.58,2.29e-06,0.0661
2.59,2.16e-06,0.068
2.6,1.88e-06,0.0729
2.61,2.14e-06,0.0684
2.62,1.97e-06,0.0712
2.63,2.13e-06,0.0685
2.64,1.92e-06,0.0722
2.65,2.2e-06,0.0674
2.66,2.1e-06,0.069
2.67,2.3e-06,0.0659
2.68,1.96e-06,0.0714
2.69,2.04e-06,0.07
2.7,2.38e-06,0.0648
2.71,2.35e-06,0.0652
2.72,2.56e-06,0.0625
2.73,2.69e-06,0.061
2.74,2.86e-06,0.0591
2.75,2.96e-06,0.0581
2.76,2.4e-06,0.0645
2.77,2.62e-06,0.0618
2.78,2.33e-06,0.0655
2.79,2.43e-06,0.0641
2.8,2.36e-06,0.0651
2.81,2.43e-06,0.0641
2.82,2.33e-06,0.0655
2.83,2.36e-06,0.0651
2.84,2.47e-06,0.0636
2.85,2.16e-06,0.068
2.86,2.19e-06,0.0676
2.87,2.25e-06,0.0667
2.88,2.24e-06,0.0668
2.89,1.91e-06,0.0724
2.9,2.15e-06,0.0682
2.91,2.13e-06,0.0685
2.92,2.15e-06,0.0682
2.93,1.95e-06,0.0716
2.94,2.09e-06,0.0692
2.95,1.9e-06,0.0725
2.96,1.79e-06,0.0747
2.97,2.03e-06,0.0702
2.98,2.11e-06,0.0688
2.99,2.51e-06,0.0631
3,2.06e-06,0.0697
3.01,2.44e-06,0.064
3.02,2e-06,0.0707
3.03,2.37e-06,0.065
3.04,2.11e-06,0.0688
3.05,1.68e-06,0.0772
3.06,2.02e-06,0.0704
3.07,1.66e-06,0.0776
3.08,1.93e-06,0.072
3.09,1.66e-06,0.0776
3.1,1.9e-06,0.0725
3.11,1.85e-06,0.0735
3.12,1.91e-06,0.0724
3.13,1.63e-06,0.0783
3.14,2.01e-06,0.0705
3.15,1.98e-06,0.0711
3.16,2.2e-06,0.0674
3.17,2.28e-06,0.0662
3.18,2.5e-06,0.0632
3.19,2.61e-06,0.0619
3.2,2.31e-06,0.0658
3.21,2.29e-06,0.0661
3.22,2.35e-06,0.0652
3.23,2.66e-06,0.0613
3.24,2.29e-06,0.0661
3.25,2.42e-06,0.0643
3.26,2.47e-06,0.0636
3.27,2.19e-06,0.0676
3.28,1.96e-06,0.0714
3.29,2e-06,0.0707
3.3,1.89e-06,0.0727
3.31,2.01e-06,0.0705
3.32,2.02e-06,0.0704
3.33,2.17e-06,0.0679
3.34,1.77e-06,0.0752
3.35,1.96e-06,0.0714
3.36,1.91e-06,0.0724
3.37,1.95e-06,0.0716
3.38,1.87e-06,0.0731
3.39,2.26e-06,0.0665
3.4,2.23e-06,0.067
3.41,2.21e-06,0.0673
3.42,2.4e-06,0.0645
3.43,2.17e-06,0.0679
3.44,2.1e-06,0.069
3.45,1.99e-06,0.0709
3.46,2.01e-06,0.0705
3.47,1.73e-06,0.076
3.48,1.79e-06,0.0747
3.49,1.86e-06,0.0733
3.5,1.44e-06,0.0833
3.51,1.78e-06,0.075
3.52,1.66e-06,0.0776
3.53,1.65e-06,0.0778
3.54,1.53e-06,0.0808
3.55,1.63e-06,0.0783
3.56,1.4e-06,0.0845
3.57,1.32e-06,0.087
3.58,1.58e-06,0.0796
3.59,1.5e-06,0.0816
3.6,1.26e-06,0.0891
3.61,1.49e-06,0.0819
3.62,1.54e-06,0.0806
3.63,1.64e-06,0.0781
3.64,1.75e-06,0.0756
3.65,1.8e-06,0.0745
3.66,1.84e-06,0.0737
3.67,1.99e-06,0.0709
3.68,2.06e-06,0.0697
3.69,2.17e-06,0.0679
3.7,2.08e-06,0.0693
3.71,2.07e-06,0.0695
3.72,2.15e-06,0.0682
3.73,2.57e-06,0.0624
3.74,2.37e-06,0.065
3.75,2.23e-06,0.067
3.76,2.49e-06,0.0634
3.77,1.93e-06,0.072
3.78,1.84e-06,0.0737
3.79,1.77e-06,0.0752
3.8,1.57e-06,0.0798
3.81,1.41e-06,0.0842
3.82,1.22e-06,0.0905
3.83,1.05e-06,0.0976
3.84,1.38e-06,0.0851
3.85,1.51e-06,0.0814
3.86,1.48e-06,0.0822
3.87,1.39e-06,0.0848
3.88,1.39e-06,0.0848
3.89,1.44e-06,0.0833
3.9,1.54e-06,0.0806
3.91,1.64e-06,0.0781
3.92,1.45e-06,0.083
3.93,1.88e-06,0.0729
3.94,1.68e-06,0.0772
3.95,1.54e-06,0.0806
3.96,1.35e-06,0.0861
3.97,1.13e-06,0.0941
3.98,1.04e-06,0.0981
3.99,1.11e-06,0.0949
4,1.21e-06,0.0909
4.01,8e-07,0.1118
4.02,1e-06,0.1
4.03,1.08e-06,0.0962
4.04,8e-07,0.1118
4.05,8e-07,0.1118
4.06,9.7e-07,0.1015
4.07,7.6e-07,0.1147
4.08,7.2e-07,0.1179
4.09,7.6e-07,0.1147
4.1,9.8e-07,0.101
4.11,7.1e-07,0.1187
4.12,8.4e-07,0.1091
4.13,9.2e-07,0.1043
4.14,8.8e-07,0.1066
4.15,9.6e-07,0.1021
4.16,8.7e-07,0.1072
4.17,8.7e-07,0.1072
4.18,9.6e-07,0.1021
4.19,9.2e-07,0.1043
4.2,9.9e-07,0.1005
4.21,7.8e-07,0.1132
4.22,6.7e-07,0.1222
4.23,8e-07,0.1118
4.24,7.2e-07,0.1179
4.25,6e-07,0.1291
4.26,8.5e-07,0.1085
4.27,9.7e-07,0.1015
4.28,7.3e-07,0.117
4.29,6.2e-07,0.127
4.3,8e-07,0.1118
4.31,7.1e-07,0.1187
4.32,8.1e-07,0.1111
4.33,8.3e-07,0.1098
4.34,7.5e-07,0.1155
4.35,8.4e-07,0.1091
4.36,6.8e-07,0.1213
4.37,7.4e-07,0.1162
4.38,5.6e-07,0.1336
4.39,9.4e-07,0.1031
4.4,9.1e-07,0.1048
4.41,8.7e-07,0.1072
4.42,9.2e-07,0.1043
