Energy_MeV,F8_Response,Relative_Error
0.0000,8.03758000E-04,0.0016
0.0100,6.69636000E-04,0.0017
0.0200,1.42268000E-04,0.0037
0.0300,1.52240000E-05,0.0115
0.0400,1.17400000E-05,0.0131
0.0500,1.22680000E-05,0.0128
0.0600,1.33800000E-05,0.0122
0.0700,1.43280000E-05,0.0118
0.0800,1.64700000E-05,0.011
0.0900,1.93740000E-05,0.0102
0.1000,2.16280000E-05,0.0096
0.1100,2.35720000E-05,0.0092
0.1200,2.46480000E-05,0.009
0.1300,2.50680000E-05,0.0089
0.1400,2.54120000E-05,0.0089
0.1500,2.50500000E-05,0.0089
0.1600,2.55420000E-05,0.0088
0.1700,2.54460000E-05,0.0089
0.1800,2.48700000E-05,0.009
0.1900,2.25160000E-05,0.0094
0.2000,2.12200000E-05,0.0097
0.2100,2.07580000E-05,0.0098
0.2200,2.01940000E-05,0.01
0.2300,1.94860000E-05,0.0101
0.2400,1.93280000E-05,0.0102
0.2500,1.81580000E-05,0.0105
0.2600,1.81900000E-05,0.0105
0.2700,1.79120000E-05,0.0106
0.2800,1.72880000E-05,0.0108
0.2900,1.78120000E-05,0.0106
0.3000,1.72420000E-05,0.0108
0.3100,1.61800000E-05,0.0111
0.3200,1.46920000E-05,0.0117
0.3300,1.30740000E-05,0.0124
0.3400,1.22260000E-05,0.0128
0.3500,1.18260000E-05,0.013
0.3600,1.07680000E-05,0.0136
0.3700,1.04220000E-05,0.0139
0.3800,9.86800000E-06,0.0142
0.3900,9.69600000E-06,0.0144
0.4000,9.39200000E-06,0.0146
0.4100,8.95000000E-06,0.0149
0.4200,8.76400000E-06,0.0151
0.4300,8.50400000E-06,0.0153
0.4400,8.22400000E-06,0.0156
0.4500,7.88800000E-06,0.0159
0.4600,7.86800000E-06,0.0159
0.4700,7.68600000E-06,0.0161
0.4800,8.15800000E-06,0.0157
0.4900,1.00340000E-05,0.0141
0.5000,1.32260000E-05,0.0123
0.5100,1.65780000E-05,0.011
0.5200,1.71180000E-05,0.0108
0.5300,1.34820000E-05,0.0122
0.5400,9.42200000E-06,0.0146
0.5500,6.77800000E-06,0.0172
0.5600,5.90400000E-06,0.0184
