Energy_MeV,F8_Response_per_source_neutron,Relative_Error
1.97,2.424e-06,0.0287
1.98,2.614e-06,0.0277
1.99,2.582e-06,0.0278
2,2.432e-06,0.0287
2.01,2.358e-06,0.0291
2.02,2.348e-06,0.0292
2.03,2.314e-06,0.0294
2.04,2.256e-06,0.0298
2.05,2.32e-06,0.0294
2.06,2.144e-06,0.0305
2.07,2.232e-06,0.0299
2.08,2.004e-06,0.0316
2.09,2.06e-06,0.0312
2.1,2.19e-06,0.0302
2.11,2.11e-06,0.0308
2.12,2.128e-06,0.0307
2.13,2.1e-06,0.0309
2.14,2.072e-06,0.0311
2.15,2.056e-06,0.0312
2.16,2.128e-06,0.0307
2.17,2.34e-06,0.0292
2.18,2.51e-06,0.0282
2.19,2.908e-06,0.0262
2.2,3.446e-06,0.0241
2.21,3.78e-06,0.023
2.22,3.858e-06,0.0228
2.23,3.624e-06,0.0235
2.24,3.238e-06,0.0249
2.25,2.864e-06,0.0264
2.26,2.68e-06,0.0273
2.27,2.464e-06,0.0285
2.28,2.574e-06,0.0279
2.29,2.518e-06,0.0282
2.3,2.446e-06,0.0286
2.31,2.546e-06,0.028
2.32,2.242e-06,0.0299
2.33,2.14e-06,0.0306
2.34,2.086e-06,0.031
2.35,1.984e-06,0.0318
2.36,1.964e-06,0.0319
2.37,2.108e-06,0.0308
2.38,2.062e-06,0.0311
2.39,2.018e-06,0.0315
2.4,2e-06,0.0316
2.41,2.036e-06,0.0313
2.42,1.942e-06,0.0321
2.43,1.91e-06,0.0324
2.44,1.938e-06,0.0321
2.45,2.034e-06,0.0314
2.46,1.986e-06,0.0317
2.47,2.11e-06,0.0308
2.48,2.202e-06,0.0301
2.49,2.178e-06,0.0303
2.5,2.274e-06,0.0297
2.51,2.284e-06,0.0296
2.52,2.146e-06,0.0305
2.53,2.048e-06,0.0312
2.54,2.05e-06,0.0312
2.55,1.962e-06,0.0319
2.56,1.978e-06,0.0318
2.57,1.832e-06,0.033
2.58,1.984e-06,0.0318
2.59,1.908e-06,0.0324
2.6,1.9e-06,0.0324
2.61,1.972e-06,0.0318
2.62,1.992e-06,0.0317
2.63,1.964e-06,0.0319
2.64,1.994e-06,0.0317
2.65,2.09e-06,0.0309
2.66,2.148e-06,0.0305
2.67,2.27e-06,0.0297
2.68,2.286e-06,0.0296
2.69,2.254e-06,0.0298
2.7,2.35e-06,0.0292
2.71,2.516e-06,0.0282
2.72,2.644e-06,0.0275
2.73,2.868e-06,0.0264
2.74,2.99e-06,0.0259
2.75,2.742e-06,0.027
2.76,2.772e-06,0.0269
2.77,2.38e-06,0.029
2.78,2.402e-06,0.0289
2.79,2.136e-06,0.0306
2.8,2.21e-06,0.0301
2.81,2.41e-06,0.0288
2.82,2.292e-06,0.0295
2.83,2.556e-06,0.028
2.84,2.172e-06,0.0303
2.85,2.166e-06,0.0304
2.86,2.116e-06,0.0307
2.87,2.03e-06,0.0314
2.88,2.016e-06,0.0315
2.89,1.958e-06,0.032
2.9,2.058e-06,0.0312
2.91,2.118e-06,0.0307
2.92,2.066e-06,0.0311
2.93,2.034e-06,0.0314
2.94,2.054e-06,0.0312
2.95,2.046e-06,0.0313
2.96,2.136e-06,0.0306
2.97,2.066e-06,0.0311
2.98,2.1e-06,0.0309
2.99,2.32e-06,0.0294
3,2.422e-06,0.0287
3.01,2.368e-06,0.0291
3.02,2.24e-06,0.0299
3.03,2.314e-06,0.0294
3.04,2.014e-06,0.0315
3.05,1.81e-06,0.0332
3.06,1.862e-06,0.0328
3.07,1.93e-06,0.0322
3.08,1.792e-06,0.0334
3.09,1.928e-06,0.0322
3.1,1.84e-06,0.033
3.11,1.778e-06,0.0335
3.12,1.938e-06,0.0321
3.13,2.006e-06,0.0316
3.14,1.962e-06,0.0319
3.15,2.076e-06,0.031
3.16,2.232e-06,0.0299
3.17,2.302e-06,0.0295
3.18,2.36e-06,0.0291
3.19,2.534e-06,0.0281
3.2,2.726e-06,0.0271
3.21,2.574e-06,0.0279
3.22,2.67e-06,0.0274
3.23,2.65e-06,0.0275
3.24,2.524e-06,0.0281
3.25,2.498e-06,0.0283
3.26,2.304e-06,0.0295
3.27,2.112e-06,0.0308
3.28,2.112e-06,0.0308
3.29,1.884e-06,0.0326
3.3,1.794e-06,0.0334
3.31,1.926e-06,0.0322
3.32,1.832e-06,0.033
3.33,2.002e-06,0.0316
3.34,2.066e-06,0.0311
3.35,2.074e-06,0.0311
3.36,2.068e-06,0.0311
3.37,1.952e-06,0.032
3.38,2.116e-06,0.0307
3.39,2.218e-06,0.03
3.4,2.264e-06,0.0297
3.41,2.152e-06,0.0305
3.42,2.31e-06,0.0294
3.43,2.182e-06,0.0303
3.44,2.19e-06,0.0302
3.45,2.192e-06,0.0302
3.46,1.976e-06,0.0318
3.47,1.878e-06,0.0326
3.48,1.666e-06,0.0346
3.49,1.764e-06,0.0337
3.5,1.69e-06,0.0344
3.51,1.66e-06,0.0347
3.52,1.554e-06,0.0359
3.53,1.486e-06,0.0367
3.54,1.604e-06,0.0353
3.55,1.486e-06,0.0367
3.56,1.518e-06,0.0363
3.57,1.566e-06,0.0357
3.58,1.456e-06,0.0371
3.59,1.484e-06,0.0367
3.6,1.554e-06,0.0359
3.61,1.544e-06,0.036
3.62,1.602e-06,0.0353
3.63,1.506e-06,0.0364
3.64,1.694e-06,0.0344
3.65,1.698e-06,0.0343
3.66,1.858e-06,0.0328
3.67,1.848e-06,0.0329
3.68,2.18e-06,0.0303
3.69,2.182e-06,0.0303
3.7,2.216e-06,0.03
3.71,2.174e-06,0.0303
3.72,2.302e-06,0.0295
3.73,2.396e-06,0.0289
3.74,2.37e-06,0.029
3.75,2.398e-06,0.0289
3.76,2.378e-06,0.029
3.77,2.09e-06,0.0309
3.78,1.816e-06,0.0332
3.79,1.568e-06,0.0357
3.8,1.39e-06,0.0379
3.81,1.322e-06,0.0389
3.82,1.24e-06,0.0402
3.83,1.296e-06,0.0393
3.84,1.384e-06,0.038
3.85,1.404e-06,0.0377
3.86,1.348e-06,0.0385
3.87,1.398e-06,0.0378
3.88,1.52e-06,0.0363
3.89,1.378e-06,0.0381
3.9,1.55e-06,0.0359
3.91,1.736e-06,0.0339
3.92,1.722e-06,0.0341
3.93,1.704e-06,0.0343
3.94,1.714e-06,0.0342
3.95,1.498e-06,0.0365
3.96,1.53e-06,0.0362
3.97,1.258e-06,0.0399
3.98,1.194e-06,0.0409
3.99,1.006e-06,0.0446
4,9.36e-07,0.0462
4.01,8.26e-07,0.0492
4.02,9.46e-07,0.046
4.03,8.66e-07,0.0481
4.04,8.52e-07,0.0485
4.05,8.94e-07,0.0473
4.06,8.82e-07,0.0476
4.07,8.84e-07,0.0476
4.08,9.24e-07,0.0465
4.09,8.68e-07,0.048
4.1,9.26e-07,0.0465
4.11,8.38e-07,0.0489
4.12,9.5e-07,0.0459
4.13,9.6e-07,0.0456
4.14,1.004e-06,0.0446
4.15,9.4e-07,0.0461
4.16,9.82e-07,0.0451
4.17,9.08e-07,0.0469
4.18,1.02e-06,0.0443
4.19,9.02e-07,0.0471
4.2,9.36e-07,0.0462
4.21,7.84e-07,0.0505
4.22,8.82e-07,0.0476
